报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),54231,34376,16214,70406,48006,30603,14163,61696,53265,45293,32549,
营业收入(万元),54231,34376,16214,70406,48006,30603,14163,61696,53265,45293,32549,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),42470,28302,12783,56203,38766,25414,11215,52299,51936,49813,35088,
营业成本(万元),15643,10529,5025,20633,13506,8088,3465,17737,17507,14451,10823,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),12023,7553,3492,15792,12049,8237,3838,14355,13405,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),757,580,460,906,679,570,244,976,790,717,447,
销售费用(万元),15148,9914,4460,18483,13042,8683,3950,17155,16345,14385,12212,
管理费用(万元),2331,1622,715,2348,1693,1151,564,2422,3393,19718,11194,
财务费用(万元),-3432,-1897,-1289,-2702,-2203,-1315,-999,-1317,201,180,228,
资产减值损失(万元),,,-80,743,,,152,971,296,362,184,
公允价值变动收益(万元),,,,,,,,,,,,
投资收益(万元),,,,,,,,410,578,208,238,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),17387,10201,5142,20861,14258,8215,4365,16308,1905,-4312,-2301,
营业外收入(万元),32,29,39,655,160,81,31,384,5509,5003,3393,
营业外支出(万元),11,10,1,12,8,7,3,12,37,59,44,
非流动资产处置损失(万元),,,,,,,,,,3,6,
利润总额(万元),17407,10220,5179,21504,14410,8289,4393,16679,7378,631,1048,
所得税费用(万元),1651,964,486,1404,1145,598,340,1280,516,-145,9,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),15756,9256,4694,20101,13265,7692,4053,15399,6862,777,1039,
归属于母公司所有者的净利润(万元),15756,9256,4694,20101,13265,7692,4053,15399,6862,777,1039,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,
基本每股收益,0.41,0.25,0.13,0.56,0.37,0.21,0.11,0.43,0.25,,,
稀释每股收益,0.41,0.25,0.13,0.56,0.37,0.21,0.11,0.43,0.25,,,
