报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,
营业总收入(万元),136526,82234,49510,,120811,85143,57721,,179280,
营业收入(万元),,,,,,,,,,
利息收入(万元),65569,41593,,,67864,44660,,,75787,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),335,128,,,468,294,,,565,
营业总成本(万元),73155,38376,,,57476,38351,,,117888,
营业成本(万元),,,,,,,,,,
利息支出(万元),41733,25989,,,28083,17917,,,27435,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),,,,,,,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,21871,
营业税金及附加(万元),1117,672,,,812,612,,,,
销售费用(万元),72235,38215,,,57754,37198,,,,
管理费用(万元),,,,,,,,,,
财务费用(万元),,,,,,,,,,
资产减值损失(万元),,,,,,,,,737,
公允价值变动收益(万元),2923,2785,,,12892,12087,,,,
投资收益(万元),42968,24336,,,20355,13230,,,23547,
对联营企业和合营企业的投资收益(万元),-1452,472,,,498,498,,,,
汇兑收益(万元),476,564,,,827,116,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),4434,3539,,,3580,2687,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),63371,43858,31338,,63336,46792,38981,,51668,
营业外收入(万元),501,427,,,313,255,,,,
营业外支出(万元),610,507,,,193,46,,,,
非流动资产处置损失(万元),,,,,,,,,,
利润总额(万元),63262,43778,31050,68649,63455,47001,39135,7165,51668,
所得税费用(万元),17347,11654,,,15668,11369,,,14303,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),45916,32124,22931,52134,47787,35632,29538,5059,37365,
归属于母公司所有者的净利润(万元),45916,32124,22931,52134,47787,35632,29538,5059,36149,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),,,,,,,,,1216,
基本每股收益,0.23,0.17,,,0.25,0.19,,,0.19,
稀释每股收益,0.23,0.17,,,,,,,,
