报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2012-09-30,
营业总收入(万元),718854,453293,211840,737195,529021,313139,106616,558293,283519,601934,788098,297902,501103,361491,239268,433989,331053,107300,352505,81300,287004,215370,
营业收入(万元),,,,,,,,,,,,,,,,,,,,,,,
利息收入(万元),1056597,682582,339266,1188690,859229,545325,265470,1174972,544376,966447,,463639,858771,,424750,759539,569737,84700,611936,70700,450156,329447,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),96622,61408,32104,94358,57537,37334,15979,88931,53726,95212,,50089,78743,,40680,72102,59740,,45664,,25272,19890,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),361,308,141,680,361,287,162,1386,135,2559,,1032,1590,,125,996,939,,347,,176,119,
营业总成本(万元),474276,269513,147567,489265,313040,148172,50108,320867,79283,334506,543655,134424,267489,159354,99213,241789,147236,,203962,,166498,110074,
营业成本(万元),,,,,,,,,,,,,,,,,,,,,,,
利息支出(万元),567667,368128,180121,742287,554410,371695,190481,694731,309919,465652,,218951,447366,,229703,399905,297550,,303158,,189419,137314,
手续费及佣金支出(万元),7856,3327,1660,7783,5110,3085,1677,6034,1906,6399,,2714,3780,,1354,3227,2469,,3131,,1722,1219,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),46,44,41,383,132,109,80,1084,,2267,,849,1842,,118,1136,748,,198,,108,108,
营业税金及附加(万元),7256,4935,2407,7485,5362,3545,1736,5490,2889,13250,,10960,28468,,14710,26644,20346,,22940,,18033,13296,
销售费用(万元),194312,121714,56507,243080,153904,92866,,176402,76393,208102,,84459,179190,,60324,172881,107458,,145955,,120004,73085,
管理费用(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,,,51652,,137890,40005,110887,,38156,57989,,24061,41128,18684,,34870,,28353,23585,
公允价值变动收益(万元),20681,3130,10781,-30369,-17996,-2601,-28526,-35463,,-438,,-176,740,,285,570,742,,-655,,-318,-107,
投资收益(万元),92635,75269,27481,192393,146226,131618,76356,10007,-785,4986,,3531,6057,,3612,1533,-2236,,844,,1739,3723,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),26483,1692,-16418,40792,42771,-24428,-30793,16712,,5497,,1452,5905,,872,2382,2150,,657,,1120,831,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),244578,183780,64273,247930,215981,164967,56508,237426,164232,267427,232704,163478,233613,202137,140056,192200,183818,,148543,,120506,105297,
营业外收入(万元),313,265,100,405,162,119,43,340,,639,,329,1873,,1062,4275,181,,4473,,2056,1286,
营业外支出(万元),343,57,1,733,138,138,102,790,,691,,319,582,,292,623,291,,1151,,256,84,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),244549,183988,64372,247602,216005,164948,56449,236977,164232,267375,232632,163488,234904,203733,140825,195852,183708,,151865,,122307,106499,
所得税费用(万元),46038,37376,11848,43263,39837,31861,9907,46616,36356,58515,,37335,53526,,33450,46317,44723,,37673,,30304,27100,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),198512,146613,52524,204339,176168,133088,46542,190361,127876,208861,,126153,181378,,107374,149535,138985,,114191,,92003,79399,
归属于母公司所有者的净利润(万元),194664,143846,50707,202335,175408,132144,46146,190025,127580,208861,180194,126153,181378,155835,107374,149535,138985,50300,114191,28300,92003,79399,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),3847,2767,1817,2004,760,943,396,336,296,,,,,,,,,,,,,,
基本每股收益,0.32,0.32,0.12,0.37,0.31,0.33,0.11,0.47,0.31,0.51,,0.31,0.58,,,0.59,,,0.45,,0.36,,
稀释每股收益,0.32,0.32,0.12,0.37,0.31,0.33,0.11,0.47,0.31,0.51,,0.31,0.58,,,0.59,,,0.45,,0.36,,
