报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),98488,51523,18127,56019,44008,25880,12768,59165,48019,38521,11093,4370,
营业收入(万元),98488,51523,18127,56019,44008,25880,12768,59165,48019,38521,11093,4370,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),59572,33159,13477,39059,28685,17637,9935,39859,31412,29123,10316,4225,
营业成本(万元),46483,24255,8560,27036,21124,12393,5915,26096,20862,14597,4793,1561,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),8620,5081,1931,6770,4493,2772,,4784,,5902,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),316,254,123,387,320,307,141,218,210,14,4,7,
销售费用(万元),3410,2218,898,2714,1977,1325,665,3782,3012,3069,1023,431,
管理费用(万元),2431,1784,559,2778,2058,1134,1889,2320,5182,5278,4405,2205,
财务费用(万元),-1687,-433,532,-1525,-1288,-293,804,795,426,-265,-38,58,
资产减值损失(万元),,,757,898,,,522,1864,1721,529,129,-37,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),92,56,27,-28,6,-12,-8,,,,,,
对联营企业和合营企业的投资收益(万元),43,16,-1,-39,-6,-16,-8,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),37263,17363,4893,17621,15298,8142,2835,19339,16616,9398,777,145,
营业外收入(万元),134,101,1,358,308,5,,6,37,189,259,47,
营业外支出(万元),11,3,,15,4,0,0,46,40,14,1,2,
非流动资产处置损失(万元),,,,,,,,,11,,,0,
利润总额(万元),37385,17461,4894,17964,15602,8147,2835,19298,16613,9573,1035,190,
所得税费用(万元),5296,2296,774,1926,2009,1266,443,2354,2249,1157,-90,207,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),32089,15165,4120,16038,13593,6880,2393,16945,14364,8416,1125,-17,
归属于母公司所有者的净利润(万元),32267,15283,4177,16233,13729,6962,2415,16989,14382,8416,1125,-17,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),-177,-118,-57,-196,-136,-81,-22,-44,-18,,,,
基本每股收益,3.87,2.04,0.56,2.16,1.83,0.93,0.32,2.27,1.92,1.17,0.17,-0,
稀释每股收益,3.87,2.04,0.56,2.16,1.83,0.93,0.32,2.27,1.92,1.17,0.17,-0,
