报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),157637,97275,38576,224534,160610,98075,38180,164640,105704,62158,26860,117089,76872,43514,
营业收入(万元),157637,97275,38576,224534,160610,98075,38180,164640,105704,62158,26860,117089,76872,43514,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),158096,97745,39330,211623,148473,90362,34627,148515,93010,54858,23925,109633,68897,38530,
营业成本(万元),77476,51259,19018,108518,75444,45338,17099,77983,49337,28840,13078,54823,34508,17448,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),3394,2222,1207,4594,3375,,,,2618,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),731,448,158,1550,1128,819,330,1834,1339,803,194,990,607,389,
销售费用(万元),67686,38290,16918,84740,60557,37035,14337,55882,33281,18909,8266,41016,23703,15951,
管理费用(万元),7956,5138,1871,10363,7242,6706,2987,11410,5461,5462,2298,11536,9968,4422,
财务费用(万元),854,388,167,642,236,52,-33,446,292,199,88,523,91,83,
资产减值损失(万元),,,-8,1216,491,412,-93,960,683,644,,745,21,237,
公允价值变动收益(万元),,,,,,,,,,,,,,,
投资收益(万元),1288,808,483,2039,1473,606,77,111,62,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,
汇兑收益(万元),,,,,-3,,,,14,,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),116,-47,-88,15804,13570,8282,3630,16236,12751,7299,2935,7456,7975,4984,
营业外收入(万元),163,159,65,418,135,32,1,3277,342,316,124,2114,361,19,
营业外支出(万元),10,9,0,42,43,43,1,483,456,308,21,39,133,7,
非流动资产处置损失(万元),,,,,,,,22,,22,,25,40,,
利润总额(万元),269,104,-23,16179,13663,8272,3630,19030,12637,7307,3038,9532,8202,4996,
所得税费用(万元),-323,-364,-38,3424,2782,1857,690,3212,2845,1846,608,2272,2903,1645,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),592,468,16,12755,10881,6415,2940,15818,9791,5461,2430,7259,5299,3351,
归属于母公司所有者的净利润(万元),751,596,45,13072,11017,6503,2934,15849,9818,5463,2449,7377,5315,3272,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),-159,-128,-30,-316,-136,-89,6,-32,-26,-2,-18,-118,-16,80,
基本每股收益,0.02,0.01,0,0.5,0.43,0.35,0.2,1.32,0.48,0.46,0.2,0.62,,,
稀释每股收益,0.02,0.01,0,0.5,0.43,0.35,0.2,1.32,0.48,0.46,0.2,0.62,,,
