报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),77115,53401,13483,143048,92166,57652,12671,149003,88303,54246,130028,153880,128470,123151,109593,96940,
营业收入(万元),77115,53401,13483,143048,92166,57652,12671,149003,88303,54246,130028,153880,128470,123151,109593,96940,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),77204,52684,17784,133041,88146,55770,16707,136981,83888,52986,121853,140834,120613,114872,101726,92687,
营业成本(万元),53953,36276,9610,103479,66307,41305,8991,106322,62861,38868,91716,111059,89840,85851,78263,69813,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),7285,5393,2354,7954,5457,3370,1907,,5223,3210,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),258,172,49,357,263,204,17,448,232,187,419,239,188,154,138,111,
销售费用(万元),3089,2122,1170,3948,2910,1836,1079,4107,2821,1918,3938,3614,4376,3906,3355,3251,
管理费用(万元),11981,8188,4462,15467,11113,7666,4326,21678,10260,7128,21284,20135,19875,20654,17468,17497,
财务费用(万元),638,533,139,1489,1310,979,387,2405,1907,1308,2764,3816,3736,2530,2156,1041,
资产减值损失(万元),,,,347,785,411,,2021,585,367,1733,1970,2598,1777,346,974,
公允价值变动收益(万元),,,1,,,,,,,,,,,,,-2,
投资收益(万元),407,255,,0,,,,-372,-325,-255,-608,-473,-232,133,231,1285,
对联营企业和合营企业的投资收益(万元),,,,,,,,-372,-325,-255,-608,-473,-233,131,138,140,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),632,1244,-4010,11480,5087,2639,-3745,13140,4717,1548,7863,13023,7625,8412,8099,5536,
营业外收入(万元),176,150,6,319,73,65,5,55,95,33,1812,812,3197,6810,4256,3846,
营业外支出(万元),28,20,9,819,724,718,19,361,133,128,3655,360,214,58,937,135,
非流动资产处置损失(万元),,,,,,,,,,,,,142,32,897,81,
利润总额(万元),780,1375,-4013,10980,4436,1987,-3758,12834,4679,1454,6020,13475,10607,15165,11418,9247,
所得税费用(万元),417,213,0,1226,514,477,0,1326,524,377,1605,1899,1732,2430,1389,946,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),363,1163,-4013,9754,3922,1510,-3758,11508,4155,1077,4415,11576,8875,12734,10029,8301,
归属于母公司所有者的净利润(万元),386,1156,-3992,9800,3997,1582,-3714,11536,4217,1093,4384,11576,8913,12777,9803,7991,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),-23,7,-21,-46,-75,-72,-44,-29,-62,-16,31,-0,-37,-43,225,310,
基本每股收益,0.01,0.02,-0.06,0.15,0.06,0.03,-0.06,0.2,0.07,0.02,0.08,0.2,0.15,0.22,0.17,0.14,
稀释每股收益,0.01,0.02,-0.06,0.15,0.06,0.03,-0.06,0.2,0.07,0.02,0.08,0.2,0.15,0.22,0.17,0.14,
