报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),68538,43613,18714,114870,69114,39724,17529,92328,63077,42094,17525,87344,54864,36576,13949,64261,46734,28438,13093,63091,47593,11992,76562,78157,83935,
营业收入(万元),68538,43613,18714,114870,69114,39724,17529,92328,63077,42094,17525,87344,54864,36576,13949,64261,46734,28438,13093,63091,47593,11992,76562,78157,83935,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),67803,43487,18259,113975,67816,38291,16780,92972,60586,40160,16564,84221,52610,35245,13365,61656,45400,28236,12590,60785,46245,11716,72121,73711,77683,
营业成本(万元),57763,36762,16169,96727,56674,32407,13953,75355,49636,33262,13560,67444,41360,27977,10386,48465,34808,21206,9540,46494,35847,8619,57883,58724,63717,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),268,207,109,570,427,335,150,456,272,197,62,494,214,154,87,513,381,240,106,356,239,90,513,502,477,
销售费用(万元),4699,3010,1406,7031,5143,2945,1553,6441,5404,3022,1577,6457,5258,2809,1448,5223,4604,2654,1436,6296,4666,1442,6404,6905,7235,
管理费用(万元),3644,2403,955,6609,3917,2708,1081,5936,3857,2826,1092,5532,3708,2807,1299,4806,3032,2451,1197,4700,3517,1166,4963,5045,4170,
财务费用(万元),1429,1105,546,2026,1516,1029,695,2314,1515,875,453,1813,1343,783,458,1583,1287,959,384,2035,1444,347,1635,1814,1690,
资产减值损失(万元),,,-24,1011,139,-1134,-653,2470,-98,-22,-181,2481,729,715,-312,1067,1288,727,-73,904,532,52,723,721,393,
公允价值变动收益(万元),,,,,,,,,,,,,,,,49,49,49,,-121,-305,-153,68,12,-9,
投资收益(万元),93,14,-55,495,319,218,1,294,213,125,27,175,215,94,50,303,353,216,60,499,319,88,627,477,573,
对联营企业和合营企业的投资收益(万元),93,14,-55,452,319,218,1,294,213,125,27,119,215,94,50,303,353,216,60,499,319,88,627,477,464,
汇兑收益(万元),,,,,,,,,,-143,,379,146,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),700,828,408,1448,1660,1678,750,-182,2751,1927,988,3676,2615,1426,635,2958,1735,466,564,2685,1361,210,5136,4936,6817,
营业外收入(万元),8,1,1,27,24,5,9,105,31,2,3,355,24,20,8,46,34,10,1,85,36,5,192,100,430,
营业外支出(万元),17,2,6,17,9,4,0,20,12,11,2,109,41,28,12,31,8,1,0,42,37,8,85,61,93,
非流动资产处置损失(万元),,,,,,,,,1,1,,11,,11,9,5,,0,,15,,,44,1,36,
利润总额(万元),692,827,403,1458,1675,1679,759,-97,2769,1918,988,3922,2598,1418,630,2972,1762,475,564,2728,1361,207,5243,4974,7154,
所得税费用(万元),102,327,338,518,719,710,305,381,878,589,393,1109,860,490,278,817,444,120,204,669,227,52,1286,1239,1564,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),590,500,65,940,956,969,454,-478,1891,1329,595,2812,1738,928,352,2155,1318,355,360,2059,1133,155,3957,3735,5590,
归属于母公司所有者的净利润(万元),593,541,211,1021,1033,974,385,-644,1570,1063,351,2309,1493,908,263,2108,1310,369,373,2030,1104,153,3776,3375,5321,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-3,-41,-146,-81,-77,-5,69,166,321,266,245,504,246,19,89,47,8,-14,-13,29,29,2,181,360,270,
基本每股收益,0.03,0.03,0.01,0.05,0.05,0.05,0.02,-0.03,0.08,0.05,0.02,0.12,0.07,0.05,0.01,0.14,0.09,0.02,0.02,0.14,0.07,0.01,0.25,0.23,0.35,
稀释每股收益,0.03,0.03,0.01,0.05,0.05,0.05,0.02,-0.03,0.08,0.05,0.02,0.12,0.07,0.05,0.01,0.14,0.09,0.02,0.02,0.14,0.07,0.01,0.25,0.23,0.35,
