报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),453068,359598,345879,279758,404570,650745,528504,554948,404939,
营业收入(万元),453068,359598,345879,279758,404570,650745,528504,554948,404939,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),342113,262536,249572,197753,323043,560062,465876,472545,334254,
营业成本(万元),270096,199741,202896,163638,262894,454890,357008,339953,253139,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),,,,,,,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),44466,42913,14035,11379,23494,54795,44675,66836,31948,
销售费用(万元),8918,7684,6650,4353,8015,9519,9660,9829,5805,
管理费用(万元),18186,11724,23469,15898,22654,21683,20265,21692,15629,
财务费用(万元),447,474,2521,2486,5987,19174,15606,24128,23503,
资产减值损失(万元),,,,,,,18661,10106,4230,
公允价值变动收益(万元),-458,-509,,,,,,,,
投资收益(万元),72206,66891,50626,36188,58504,32032,23390,19141,13515,
对联营企业和合营企业的投资收益(万元),33890,29562,44153,33290,53367,21743,19633,16713,12219,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),180719,160383,155334,123405,146856,105667,86019,101544,84200,
营业外收入(万元),235,181,18908,14665,3764,5255,1736,1761,2190,
营业外支出(万元),151,120,180,149,64,1089,330,245,138,
非流动资产处置损失(万元),,,,,,,7,71,15,
利润总额(万元),180803,160443,174062,137921,150555,109833,87424,103060,86252,
所得税费用(万元),30731,24051,30600,25587,22908,19319,21959,25721,19577,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),150072,136392,143462,112333,127647,90514,65466,77340,66674,
归属于母公司所有者的净利润(万元),105782,97825,97816,76750,82369,60375,53176,63128,56127,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),44289,38568,45646,35583,45278,30140,12290,14212,10548,
基本每股收益,0.78,0.73,0.73,0.57,0.61,0.45,0.39,0.47,0.42,
稀释每股收益,0.78,0.73,0.73,0.57,0.61,0.45,0.39,0.47,0.42,
