报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),49919,33895,14619,54577,39962,25151,12303,34089,22678,14861,8231,32122,21324,15215,7067,31695,32023,14522,26606,25543,21528,
营业收入(万元),49919,33895,14619,54577,39962,25151,12303,34089,22678,14861,8231,32122,21324,15215,7067,31695,32023,14522,26606,25543,21528,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),38366,26064,11604,43925,31742,19949,10351,26880,17942,11814,6720,24758,16390,11618,5611,25395,26058,11982,22780,22526,20611,
营业成本(万元),13586,9576,4607,19482,15026,9603,5103,16325,11144,7528,4447,15706,10221,6928,3060,14860,15610,7585,14802,14892,13832,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1949,1242,963,2626,1621,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),496,288,130,731,582,374,196,465,346,203,100,442,199,157,81,322,302,134,227,193,142,
销售费用(万元),19182,12928,4736,16722,11713,6970,3493,4580,2664,1628,865,3512,2697,2089,1132,4514,4514,1998,3220,3301,2698,
管理费用(万元),3347,2108,993,4315,2697,2803,1383,5191,3767,2258,1059,4867,2974,2170,1137,4953,4648,1969,3686,3194,2959,
财务费用(万元),-194,-79,-9,-166,-128,17,50,36,-139,-24,15,-6,39,34,29,29,295,179,666,865,839,
资产减值损失(万元),,,185,216,230,182,127,283,161,221,234,237,259,240,172,719,689,117,179,81,141,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),83,80,36,428,421,349,178,538,178,120,57,207,81,83,47,154,357,99,256,214,550,
对联营企业和合营企业的投资收益(万元),83,80,36,224,217,115,59,246,178,120,57,207,81,83,47,154,357,99,257,213,405,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),12503,8786,3213,11271,8689,5584,2150,7883,5176,3237,1568,7571,5016,3680,1503,6454,6323,2639,4082,3231,1467,
营业外收入(万元),16,14,1,256,256,175,85,439,308,307,118,423,270,224,12,463,269,89,257,262,117,
营业外支出(万元),78,33,18,237,216,216,0,90,89,15,1,72,36,30,9,101,86,44,84,123,101,
非流动资产处置损失(万元),,,,,,,,,78,4,0,29,1,0,,69,32,10,49,75,67,
利润总额(万元),12441,8766,3197,11289,8730,5543,2235,8232,5395,3529,1685,7922,5250,3874,1506,6816,6506,2684,4256,3370,1483,
所得税费用(万元),2541,1938,774,1550,1615,1042,453,1308,834,524,267,1105,736,534,360,1046,1121,469,606,440,148,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),9900,6828,2423,9740,7115,4501,1783,6924,4562,3005,1418,6817,4514,3340,1145,5771,5385,2215,3650,2930,1335,
归属于母公司所有者的净利润(万元),9916,6827,2412,9691,7118,4501,1783,6924,4562,3005,1418,6817,4514,3340,1145,5771,5385,2215,3650,2930,1335,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-17,1,11,48,-3,,,,,,,,,,,,,,,,,
基本每股收益,0.83,0.57,0.2,0.81,0.84,0.53,0.21,0.87,0.58,0.4,0.22,1.07,0.71,0.52,0.18,0.9,0.84,0.35,0.57,,,
稀释每股收益,0.83,0.57,0.2,0.81,0.84,0.53,0.21,0.87,0.58,0.4,0.22,1.07,0.71,0.52,0.18,0.9,0.84,0.35,0.57,,,
