报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),246388,180463,387447,224564,165750,361481,342027,121315,201580,27306,121725,71564,38188,
营业收入(万元),246388,180463,387447,224564,165750,361481,342027,121315,201580,27306,121725,71564,38188,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),221519,161675,356105,205655,154857,336253,317522,114622,193952,26401,117600,70736,37453,
营业成本(万元),150493,111349,249469,142388,104877,229062,221628,78072,130390,16259,78132,44235,24163,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),590,376,1102,909,646,2239,1975,,,,,,,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),905,846,1041,475,351,861,2267,328,653,113,356,170,117,
销售费用(万元),63679,45318,96076,56581,43271,94292,81978,30179,54530,8549,34508,23271,10969,
管理费用(万元),6552,4145,8823,6036,3884,7983,6422,3642,6701,1290,4016,2744,2078,
财务费用(万元),-699,-359,-407,-734,-264,-549,607,172,-397,50,248,294,83,
资产减值损失(万元),,,,,1543,2365,2644,2229,2075,141,340,22,43,
公允价值变动收益(万元),0,,1396,1755,1806,,419,76,92,,,,,
投资收益(万元),116,80,584,323,322,8045,2994,1819,1650,351,-88,,,
对联营企业和合营企业的投资收益(万元),0,,-38,-30,-24,2508,2098,1447,1324,313,84,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),24720,19340,36657,24784,18851,34543,29126,9527,9370,1256,4037,828,735,
营业外收入(万元),39,21,34,34,33,232,299,172,553,3,276,74,106,
营业外支出(万元),139,127,34,19,17,37,223,19,15,7,15,96,14,
非流动资产处置损失(万元),,,,,,,,2,0,,6,,,
利润总额(万元),24620,19235,36657,24799,18868,34737,29202,9680,9907,1252,4297,806,827,
所得税费用(万元),5701,4434,8208,5463,3905,9568,6634,2197,1837,162,1026,238,318,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),18919,14801,28448,19336,14963,25169,22568,7482,8071,1090,3271,568,510,
归属于母公司所有者的净利润(万元),19162,15027,28599,19533,15124,25230,22722,7534,8110,1090,3271,568,510,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),-243,-227,-151,-197,-161,-61,-154,-52,-40,,,,,
基本每股收益,0.48,0.42,0.79,0.54,0.42,0.7,0.63,0.21,0.23,0.03,,,,
稀释每股收益,0.48,0.42,0.79,0.54,0.42,0.7,0.63,0.21,0.23,0.03,,,,
