报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),49271,29341,15269,50446,28011,13688,4185,40387,22582,13237,5683,37894,26374,16262,6423,37574,23828,13813,4553,40318,40627,33991,31441,
营业收入(万元),49271,29341,15269,50446,28011,13688,4185,40387,22582,13237,5683,37894,26374,16262,6423,37574,23828,13813,4553,40318,40627,33991,31441,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),44837,26428,13696,47961,25797,12592,3774,36673,20266,11930,5150,33079,23090,14008,5651,32431,20704,11878,3966,36034,36565,30289,29025,
营业成本(万元),40457,24079,12446,39838,23149,10471,3051,31354,17536,10011,4510,28359,19770,12080,4789,27757,17286,9645,3160,30200,32533,26860,25551,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1784,488,204,1883,251,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),115,81,45,240,174,119,64,241,139,85,26,482,231,209,200,564,437,369,138,560,420,612,552,
销售费用(万元),545,436,218,646,425,257,178,393,370,320,265,303,421,235,92,334,294,165,72,315,316,269,188,
管理费用(万元),1752,1167,530,4664,1504,1123,522,2547,1651,1110,535,2602,1915,1077,574,2330,1769,1059,595,2355,1995,1880,1556,
财务费用(万元),184,177,136,671,407,271,120,237,36,-24,7,154,159,123,58,451,402,336,108,851,461,357,464,
资产减值损失(万元),,,,19,-113,352,-160,1901,534,428,-192,1179,595,285,-62,996,516,305,-106,1754,840,312,714,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),,,,33,33,33,25,129,109,89,45,3,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),4003,2700,1616,2909,2443,1212,468,3912,2425,1397,578,4818,3284,2254,772,5143,3125,1935,587,4284,4062,3702,2417,
营业外收入(万元),0,0,0,2,1,1,0,56,27,17,2,344,3,2,2,78,76,75,74,63,51,111,266,
营业外支出(万元),3,2,1,0,0,0,0,4,5,4,2,11,8,8,5,15,13,8,8,16,7,22,5,
非流动资产处置损失(万元),,,,,,,,,1,1,,5,,5,,2,,0,,14,0,0,1,
利润总额(万元),4000,2698,1616,2911,2444,1213,468,3965,2448,1410,578,5151,3279,2249,769,5206,3188,2002,653,4331,4106,3791,2678,
所得税费用(万元),475,424,242,487,227,125,70,473,300,132,87,817,538,331,186,677,510,308,95,500,524,469,261,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),3525,2274,1373,2424,2217,1088,398,3492,2148,1278,492,4335,2742,1918,583,4529,2678,1694,558,3830,3582,3322,2417,
归属于母公司所有者的净利润(万元),3525,2274,1373,2424,2217,1088,398,3492,2148,1278,492,4335,2742,1918,583,4529,2678,1694,558,3830,3582,3322,2417,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益,0.33,0.21,0.13,0.24,0.22,0.1,0.04,0.34,0.21,0.12,0.05,0.5,0.33,0.25,0.08,0.59,0.35,0.22,0.07,0.5,0.47,0.43,0.31,
稀释每股收益,0.33,0.21,0.13,0.24,0.22,0.1,0.04,0.34,0.21,0.12,0.05,0.5,0.33,0.25,0.08,0.59,0.35,0.22,0.07,0.5,0.47,0.43,0.31,
