报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,
营业总收入(万元),22709,14153,10904,40513,36286,27234,12659,35285,10260,15832,4349,12524,3132,16537,7199,
营业收入(万元),22709,14153,10904,40513,36286,27234,12659,35285,10260,15832,4349,12524,3132,16537,7199,
利息收入(万元),,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,
营业总成本(万元),22031,13179,8515,32056,26474,19742,8412,26700,8778,12420,4070,11248,2371,12807,7167,
营业成本(万元),15860,9271,6990,23084,20341,15013,6356,20338,5641,8826,2796,7780,1781,9250,4573,
利息支出(万元),,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,
研发费用(万元),1770,1114,526,1974,1750,1304,,1457,,800,,645,,,,
退保金(万元),,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,
营业税金及附加(万元),464,267,139,633,392,220,106,298,125,230,21,116,0,114,93,
销售费用(万元),1850,1193,469,3058,2428,1703,664,2339,884,1273,526,1224,219,996,771,
管理费用(万元),2000,1314,650,2628,1441,970,1217,1496,1299,1197,840,1277,333,2185,1598,
财务费用(万元),88,20,21,174,122,112,-2,139,58,-144,-40,-245,-8,-18,17,
资产减值损失(万元),,,-280,506,,420,71,632,771,240,-72,451,46,281,114,
公允价值变动收益(万元),,,,,,,,,,,,,3,7,2,
投资收益(万元),576,390,199,17,14,9,9,23,9,30,18,49,5,62,164,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,
营业利润(万元),3031,2580,3241,11523,9500,7674,4347,8841,1538,3442,297,1326,769,3799,198,
营业外收入(万元),260,157,78,127,121,3,3,50,5,435,149,314,70,273,338,
营业外支出(万元),126,109,104,53,5,5,1,18,5,47,10,14,,22,30,
非流动资产处置损失(万元),,,,,,,,,0,,,,,,,
利润总额(万元),3166,2629,3216,11597,9616,7672,4349,8873,1538,3830,436,1626,839,4051,506,
所得税费用(万元),545,545,545,1790,1398,1086,659,1393,257,584,72,239,131,558,42,
未确认投资损失(万元),,,,,,,,,,,,,,,,
净利润(万元),2620,2084,2671,9807,8219,6586,3690,7480,1281,3246,364,1387,708,3493,464,
归属于母公司所有者的净利润(万元),2576,2163,2662,9898,8274,6611,3699,7816,1613,3311,437,1457,721,3461,469,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,
少数股东损益(万元),44,-79,9,-91,-55,-25,-9,-336,-332,-66,-73,-70,-12,32,-5,
基本每股收益,0.26,0.22,0.27,1.28,1.1,0.88,0.49,1.04,0.22,0.44,0.06,0.19,0.1,0.46,0.06,
稀释每股收益,0.26,0.22,0.27,1.28,1.1,0.88,0.49,1.04,0.22,0.44,0.06,0.19,0.1,0.46,0.06,
