报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),38690,21984,8886,48943,36739,21926,9011,46068,35095,21433,8768,42179,32111,42293,40859,31819,
营业收入(万元),38690,21984,8886,48943,36739,21926,9011,46068,35095,21433,8768,42179,32111,42293,40859,31819,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),21502,13911,6911,34498,23396,14890,7080,33199,23360,14530,6862,31852,22753,34401,33547,27058,
营业成本(万元),11940,7550,3721,18548,12066,7879,3943,16743,11152,6925,3632,14733,10303,14311,13931,10856,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),590,391,175,779,588,389,180,771,568,357,170,1208,630,2282,2381,1423,
销售费用(万元),4076,2920,1205,7172,4620,2942,1176,6541,4370,2952,1008,5686,4006,6187,5982,5080,
管理费用(万元),5429,3308,1689,7342,5585,3251,1568,7335,5753,3333,1481,7378,5518,7533,7530,6455,
财务费用(万元),-533,-260,137,612,561,450,239,1762,1507,936,591,2849,2302,4086,3860,3084,
资产减值损失(万元),,,,46,-23,-22,-25,47,10,27,-20,-2,-5,3,-137,160,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,
投资收益(万元),141,141,125,641,641,16,,15,15,15,,76,76,18,22,108,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),17515,8369,2123,15834,14526,7594,2473,13137,11751,6919,1956,10403,9433,7910,7334,4869,
营业外收入(万元),16,9,3,10,7,4,2,18,141,81,2,235,199,435,1113,624,
营业外支出(万元),0,0,,91,9,8,1,139,27,23,,99,,108,82,104,
非流动资产处置损失(万元),,,,,,8,,,23,23,,,,28,,8,
利润总额(万元),17530,8378,2126,15753,14524,7589,2474,13015,11864,6976,1959,10539,9632,8237,8365,5389,
所得税费用(万元),4380,2092,535,3949,3628,1877,624,3254,2962,1738,495,2514,2322,1966,1977,1732,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),13150,6286,1592,11804,10895,5713,1849,9761,8902,5238,1464,8025,7309,6271,6388,3657,
归属于母公司所有者的净利润(万元),11494,5371,1500,10321,9462,4903,1763,8447,7828,4415,1373,6929,6469,5403,5693,3075,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),1656,915,91,1483,1434,810,86,1314,1074,823,92,1096,840,867,695,581,
基本每股收益,0.99,0.46,0.13,1.29,1.18,0.61,0.22,1.3,1.3,0.74,0.23,1.15,1.08,0.9,0.95,0.51,
稀释每股收益,0.99,0.46,0.13,1.29,1.18,0.61,0.22,1.3,1.3,0.74,0.23,1.15,1.08,0.9,0.95,0.51,
