报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),40002,24425,10655,50708,35991,21972,8585,45656,32650,20618,7422,36924,39049,32409,
营业收入(万元),40002,24425,10655,50708,35991,21972,8585,45656,32650,20618,7422,36924,39049,32409,
利息收入(万元),,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,
营业总成本(万元),31835,19895,8866,40567,28219,17361,7356,36593,26068,16670,6208,30057,31092,27056,
营业成本(万元),26790,16377,7049,33590,23142,13973,5479,29070,20544,12920,4739,22836,25012,21881,
利息支出(万元),,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,
研发费用(万元),1108,682,305,1562,1069,,,,873,,,,,,
退保金(万元),,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,
营业税金及附加(万元),299,171,77,501,336,249,109,548,315,236,73,410,344,230,
销售费用(万元),1254,759,390,1663,1206,709,207,1487,1006,654,196,1262,1237,1272,
管理费用(万元),3297,2108,1104,3715,3006,2548,1333,4537,2632,2359,1240,6009,4010,3180,
财务费用(万元),-913,-202,204,-743,-727,-114,344,739,529,338,137,-209,207,270,
资产减值损失(万元),,,-262,279,187,-4,-117,211,169,163,-177,-250,282,223,
公允价值变动收益(万元),,,,,,,,,,,,4,-4,,
投资收益(万元),419,329,23,280,15,1,0,4,3,2,1,78,53,8,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,0,,,,0,,,,,
期货损益(万元),,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,
营业利润(万元),8957,5409,1812,11349,8043,4665,1265,9251,6746,4024,1235,6950,8006,5362,
营业外收入(万元),12,0,11,508,719,606,8,1070,1089,654,11,274,212,110,
营业外支出(万元),92,80,82,8,7,0,0,17,0,0,0,107,118,214,
非流动资产处置损失(万元),,,,,,,,,,,,84,24,11,
利润总额(万元),8877,5330,1741,11850,8755,5270,1272,10304,7835,4678,1245,7116,8100,5258,
所得税费用(万元),1274,771,239,1753,1263,775,190,1542,1255,746,175,1304,1300,712,
未确认投资损失(万元),,,,,,,,,,,,,,,
净利润(万元),7603,4559,1502,10097,7491,4496,1083,8762,6580,3933,1071,5813,6800,4545,
归属于母公司所有者的净利润(万元),7603,4559,1502,10097,7491,4496,1083,8762,6580,3933,1071,5738,6732,4735,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,75,68,-189,
基本每股收益,0.79,0.47,0.16,1.23,0.97,0.62,0.15,1.22,0.91,0.55,0.15,0.96,,,
稀释每股收益,0.79,0.47,0.16,1.23,0.97,0.62,0.15,1.22,0.91,0.55,,0.96,,,
