报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),56749,34485,65813,43724,57036,55115,46924,
营业收入(万元),56749,34485,65813,43724,57036,55115,46924,
利息收入(万元),,,,,,,,
已赚保费(万元),,,,,,,,
手续费及佣金收入(万元),,,,,,,,
房地产销售收入(万元),,,,,,,,
其他业务收入(万元),,,,,,,,
营业总成本(万元),37780,22598,45909,31830,45140,44205,40609,
营业成本(万元),29638,17744,36032,25182,35409,35984,31647,
利息支出(万元),,,,,,,,
手续费及佣金支出(万元),,,,,,,,
房地产销售成本(万元),,,,,,,,
研发费用(万元),4074,2016,4177,2720,4117,3262,2708,
退保金(万元),,,,,,,,
赔付支出净额(万元),,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,
保单红利支出(万元),,,,,,,,
分保费用(万元),,,,,,,,
其他业务成本(万元),,,,,,,,
营业税金及附加(万元),510,341,698,474,656,647,420,
销售费用(万元),752,499,1072,702,1026,1102,1187,
管理费用(万元),2883,1893,3331,2216,2672,2587,2429,
财务费用(万元),-77,104,598,538,1027,385,1500,
资产减值损失(万元),,,,,232,238,719,
公允价值变动收益(万元),,,,,77,-77,,
投资收益(万元),2,2,-10,,-91,-227,,
对联营企业和合营企业的投资收益(万元),,,,,,,,
汇兑收益(万元),,,,,,,,
期货损益(万元),,,,,,,,
托管收益(万元),,,,,,,,
补贴收入(万元),,,,,,,,
其他业务利润(万元),,,,,,,,
营业利润(万元),18345,11208,20834,12812,12250,11024,6315,
营业外收入(万元),1,0,2,2,2,3,260,
营业外支出(万元),54,53,91,60,47,16,100,
非流动资产处置损失(万元),,,,,,,,
利润总额(万元),18292,11154,20745,12754,12206,11011,6475,
所得税费用(万元),2357,1474,2813,1724,1395,1467,939,
未确认投资损失(万元),,,,,,,,
净利润(万元),15936,9680,17932,11031,10811,9544,5536,
归属于母公司所有者的净利润(万元),15936,9680,17932,11031,10811,9544,5536,
被合并方在合并前实现净利润(万元),,,,,,,,
少数股东损益(万元),,,,,,,,
基本每股收益,1.28,0.78,1.44,0.89,0.87,0.82,0.56,
稀释每股收益,1.28,0.78,1.44,0.89,0.87,0.82,0.56,
