报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),43187,27818,14792,54836,34246,23010,11394,39013,28273,19212,9906,33029,24500,16712,8315,28581,20288,25865,24474,20251,16097,
营业收入(万元),43187,27818,14792,54836,34246,23010,11394,39013,28273,19212,9906,33029,24500,16712,8315,28581,20288,25865,24474,20251,16097,
利息收入(万元),,,,,,,,,,,,0,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,0,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,0,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),39093,25262,14055,47734,30353,19873,10416,34788,24718,16473,9061,28639,21157,14109,7476,24827,17605,22045,20284,16579,12558,
营业成本(万元),30465,19777,10737,38412,25119,16673,8339,28028,20035,13510,7291,22910,17245,11757,5948,19483,13952,16504,15424,11993,9237,
利息支出(万元),,,,,,,,,,,,0,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,0,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),2078,1040,624,1811,1023,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,0,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,0,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,0,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,0,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,0,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),177,130,71,332,139,100,46,163,105,80,44,-177,-139,-198,34,237,144,325,515,553,447,
销售费用(万元),2017,1505,1053,2397,1366,961,646,1902,1270,820,539,1645,1129,759,441,1349,1045,1250,1234,1126,747,
管理费用(万元),3473,2347,1233,3623,2073,1751,1204,4049,2873,1709,1062,3419,2512,1605,781,2482,1788,2192,2105,1967,1833,
财务费用(万元),884,463,193,306,145,78,46,107,11,21,-1,275,249,170,116,493,309,311,142,106,39,
资产减值损失(万元),,,143,853,487,310,134,539,425,333,126,566,160,17,156,784,368,1463,864,834,255,
公允价值变动收益(万元),,,,,,,,,,,,0,,,,,,,,,,
投资收益(万元),0,0,0,,,,,19,,,,0,,,,,,,,,-1,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,0,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,0,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),3861,2218,737,7749,4101,3336,1077,4561,3555,2739,845,4391,3343,2604,839,3753,2683,3820,4190,3672,3538,
营业外收入(万元),,,,189,,,,,239,234,143,93,80,74,37,327,226,110,15,76,7,
营业外支出(万元),32,2,2,99,17,17,2,15,17,2,,11,10,10,5,0,0,51,0,5,19,
非流动资产处置损失(万元),,,,,,,,,2,2,,11,,10,5,,,51,,,,
利润总额(万元),3829,2216,735,7839,4084,3319,1075,4547,3777,2971,988,4473,3413,2667,871,4080,2909,3879,4205,3742,3525,
所得税费用(万元),529,410,158,977,625,501,159,643,549,436,130,657,511,423,131,609,478,541,657,536,506,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
净利润(万元),3299,1806,576,6862,3459,2818,916,3903,3229,2535,858,3815,2901,2244,740,3471,2432,3338,3548,3206,3019,
归属于母公司所有者的净利润(万元),3480,2149,762,5851,3479,2829,916,3903,3229,2535,858,3815,2901,2244,740,3471,2432,3338,3548,3206,3019,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),-181,-343,-186,1011,-20,-11,,0,,,,0,,,,0,,0,0,0,0,
基本每股收益,0.18,0.11,0.05,0.37,0.22,0.18,0.09,0.37,0.4,0.36,0.12,0.69,0.55,0.43,0.14,0.66,0.46,0.63,0.67,0.63,0.6,
稀释每股收益,0.18,0.11,0.05,0.37,0.22,0.18,0.09,0.37,0.4,0.36,0.12,0.69,0.55,0.43,0.14,0.66,0.46,0.63,0.67,0.63,0.6,
