报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
营业总收入(万元),351253,235746,119340,485041,310328,206438,96741,430466,189082,390144,171973,358324,154295,308516,130142,267965,93789,212509,84564,159852,66464,122063,39413,94207,30330,
营业收入(万元),351253,235746,119340,485041,310328,206438,96741,430466,189082,390144,171973,358324,154295,308516,130142,267965,93789,212509,84564,159852,66464,122063,39413,94207,30330,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
营业总成本(万元),333938,220879,116986,455499,296127,196657,96428,407541,181157,371935,165962,343057,149430,294412,126356,255163,88558,201738,79813,152313,51238,116350,30353,91007,30021,
营业成本(万元),266573,175669,91691,373427,236894,156170,75950,330894,143672,306218,136914,286687,123948,240268,103648,205295,69102,154782,62782,122403,51238,94059,30353,73870,23429,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
研发费用(万元),40542,26053,14011,43952,33098,23379,,,,,,,,,,,,,,,0,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
营业税金及附加(万元),1716,1045,588,2781,1463,919,212,2421,606,2204,703,2371,775,2576,722,1555,311,3072,1992,3807,1687,2376,801,1796,560,
销售费用(万元),22373,16266,7714,29424,21111,15063,7598,27973,13947,28110,11778,24241,11741,22912,10693,24153,11343,25292,8959,17604,6872,13149,4341,9877,3860,
管理费用(万元),3942,2851,1391,5076,3494,2569,11884,41453,19064,33389,14787,27552,11057,27355,9071,23541,7798,18142,5432,8116,3629,6529,3120,5145,2220,
财务费用(万元),-1208,-1005,-524,-1108,-978,-753,-391,-1002,-753,-1048,-684,-861,-611,-667,-422,-567,-461,-461,-260,-332,-188,-171,-120,-82,-48,
资产减值损失(万元),,,2114,1947,1045,-690,1176,5802,4620,3062,2463,3066,2520,1968,2645,1184,465,911,909,715,747,407,,402,,
公允价值变动收益(万元),1094,-250,,,,,,,,,,,,,,,,,,,0,,,,,
投资收益(万元),-4,-9,,-3,-2,-2,,-0,,,,18,1,,,,,2,,2,0,41,,82,26,
对联营企业和合营企业的投资收益(万元),-4,,,-3,-2,-2,,,,,,,1,,,,,,,,0,12,,6,26,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
营业利润(万元),17435,14494,2350,31999,14762,10265,713,24934,8426,18209,6011,15285,4866,14104,3786,12802,5231,10772,4750,7542,2480,5755,917,3282,336,
营业外收入(万元),322,309,0,383,305,290,0,427,62,2299,1229,2237,1003,1449,638,2087,965,1915,500,1615,590,1364,640,1813,738,
营业外支出(万元),281,215,22,83,67,64,4,12,131,46,41,51,2,52,36,355,355,103,8,6,5,41,3,20,4,
非流动资产处置损失(万元),,,,,,,,,131,5,4,22,1,35,35,343,343,93,8,6,5,41,,,,
利润总额(万元),17476,14587,2329,32299,15000,10491,709,25349,8356,20463,7199,17472,5867,15500,4389,14534,5841,12585,5242,9151,3065,7078,1554,5075,1070,
所得税费用(万元),1488,1564,816,245,969,519,226,2000,1474,1291,982,677,454,659,839,1059,1048,1461,1050,1267,515,916,204,487,125,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
净利润(万元),15988,13023,1513,32054,14031,9972,483,23349,6883,19172,6217,16794,5413,14842,3550,13476,4793,11124,4192,7884,2550,6162,1349,4588,945,
归属于母公司所有者的净利润(万元),15988,13023,1513,32054,14031,9972,483,23349,6883,19172,6217,16794,5413,14842,3550,13476,4793,11124,4192,7884,2550,6162,1349,4588,945,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,0,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,0,0,-0,-0,-0,-0,
基本每股收益,0.38,0.34,0.04,0.84,0.37,0.26,0.01,0.61,0.18,0.5,0.16,0.44,0.14,0.7,0.17,0.64,0.23,0.55,0.36,0.7,0.23,0.55,0.12,0.41,0.08,
稀释每股收益,,0.34,0.04,0.84,,,,,,,,,,,0.17,0.64,0.23,0.55,,,0.23,,0.12,,0.08,
