报告日期,2019-09-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),125750,33910,175867,131601,87152,173543,146743,134545,
营业收入(万元),125750,33910,175867,131601,87152,173543,146743,134545,
利息收入(万元),,,,,,,,,
已赚保费(万元),,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,
房地产销售收入(万元),,,,,,,,,
其他业务收入(万元),,,,,,,,,
营业总成本(万元),105077,30100,147278,110792,76709,154448,121838,117846,
营业成本(万元),82758,22551,119808,91344,61806,120906,97609,95994,
利息支出(万元),,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,
房地产销售成本(万元),,,,,,,,,
研发费用(万元),7958,2378,9583,6324,4839,,,,
退保金(万元),,,,,,,,,
赔付支出净额(万元),,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,
保单红利支出(万元),,,,,,,,,
分保费用(万元),,,,,,,,,
其他业务成本(万元),,,,,,,,,
营业税金及附加(万元),1181,397,1722,1303,891,1742,1564,1172,
销售费用(万元),5341,1571,7031,5282,3385,6298,5143,4739,
管理费用(万元),10186,3086,12136,9010,5619,22773,19732,18549,
财务费用(万元),-2347,117,-3001,-2470,-497,2022,-2758,-3044,
资产减值损失(万元),,,,,668,706,548,435,
公允价值变动收益(万元),-1649,588,-435,-4013,-2235,572,3610,-2107,
投资收益(万元),-345,706,-1741,2059,2059,1096,-4763,-22,
对联营企业和合营企业的投资收益(万元),,,,,,,,,
汇兑收益(万元),,,,,,,,,
期货损益(万元),,,,,,,,,
托管收益(万元),,,,,,,,,
补贴收入(万元),,,,,,,,,
其他业务利润(万元),,,,,,,,,
营业利润(万元),18931,5564,27332,19478,10971,21545,23753,14188,
营业外收入(万元),93,38,328,347,237,580,1172,882,
营业外支出(万元),131,55,104,94,52,1054,114,113,
非流动资产处置损失(万元),,,,,,,,,
利润总额(万元),18893,5546,27557,19730,11157,21071,24812,14958,
所得税费用(万元),2266,719,3937,3147,1720,3290,3631,2276,
未确认投资损失(万元),,,,,,,,,
净利润(万元),16626,4827,23620,16583,9437,17781,21181,12681,
归属于母公司所有者的净利润(万元),16626,4827,23620,16583,9437,17781,21181,12681,
被合并方在合并前实现净利润(万元),,,,,,,,,
少数股东损益(万元),,,,,,,,,
基本每股收益,0.46,0.13,0.66,0.46,0.26,0.49,,,
稀释每股收益,0.46,0.13,0.66,0.46,0.26,0.49,,,
