报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),714705,410867,137976,1004044,753153,497141,222414,906500,655799,204892,724007,536648,445891,
营业收入(万元),714705,410867,137976,1004044,753153,497141,222414,906500,655799,204892,724007,536648,445891,
利息收入(万元),,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,
营业总成本(万元),528994,315636,113187,743863,552078,373089,176473,725675,537571,169492,589768,380803,341717,
营业成本(万元),432194,256201,86988,588249,439047,296840,141412,574474,423508,133295,450797,294247,260372,
利息支出(万元),,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,
研发费用(万元),26976,17299,8094,39309,26481,19211,9433,35081,26176,8578,28665,17975,15105,
退保金(万元),,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,
营业税金及附加(万元),5977,3778,1307,7541,5972,4474,2375,6910,5179,1486,5189,4589,3290,
销售费用(万元),36402,22355,10382,72548,52119,32956,13773,74657,55643,17082,68020,44274,45627,
管理费用(万元),29791,18306,7305,37941,30316,19680,9308,34188,26607,8048,35944,19293,17567,
财务费用(万元),-2347,-2303,-889,-1726,-1857,-72,171,522,458,680,562,-131,-631,
资产减值损失(万元),,,,,,,,-157,,323,592,554,387,
公允价值变动收益(万元),-100,,,-15,,,,,,,,,-72,
投资收益(万元),1592,-1412,-5702,10618,5692,4209,1385,9727,7983,2660,10327,6946,3657,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,
营业利润(万元),193670,96470,20959,276875,209382,129191,47323,195989,129451,38604,152935,163205,107706,
营业外收入(万元),292,176,111,462,335,251,33,496,399,77,389,7169,12079,
营业外支出(万元),3126,2150,1007,7839,5165,4840,65,1341,1278,682,2241,3667,1992,
非流动资产处置损失(万元),,,,,,,,,,,,,,
利润总额(万元),190835,94496,20062,269497,204552,124602,47290,195145,128572,37999,151083,166708,117793,
所得税费用(万元),30940,14122,3022,39125,29288,17978,7022,27459,18018,5894,22540,25963,17819,
未确认投资损失(万元),,,,,,,,,,,,,,
净利润(万元),159895,80374,17040,230372,175263,106624,40268,167686,110554,32105,128543,140745,99974,
归属于母公司所有者的净利润(万元),159895,80374,17040,230372,175263,106624,40268,167686,110554,32105,128543,140745,99974,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,
基本每股收益,2.69,1.36,0.29,4.27,3.25,1.97,0.75,3.11,2.05,0.59,2.38,,,
稀释每股收益,2.69,1.36,0.29,4.27,3.25,1.97,0.75,3.11,2.05,0.59,2.38,,,
