报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),87629,55748,24302,100208,65472,42301,14494,75457,44988,28184,10161,60663,39531,25106,9050,20671,13164,8130,3198,18986,12616,7844,2989,18464,18759,16168,
营业收入(万元),87629,55748,24302,100208,65472,42301,14494,75457,44988,28184,10161,60663,39531,25106,9050,20671,13164,8130,3198,18986,12616,7844,2989,18464,18759,16168,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业总成本(万元),74412,47147,20933,88051,57376,36762,13726,68169,38400,23576,9326,54011,34233,21737,8717,18884,11558,7059,2923,15570,10335,6334,2739,14445,14447,12283,
营业成本(万元),56433,35880,15620,65136,41916,27210,9446,48888,27879,17430,6546,38682,25779,16274,6206,13123,8025,4789,1988,10871,7055,4293,1764,10042,10150,8759,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),4602,2716,1117,5923,3453,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加(万元),654,403,193,835,563,439,135,895,475,342,135,551,416,356,155,182,82,52,20,117,60,35,7,128,147,146,
销售费用(万元),6254,3994,2121,7551,5424,3274,1409,5386,3186,2004,874,4281,2702,1813,836,2712,2002,1265,522,2537,1662,1041,502,2413,2402,2315,
管理费用(万元),5799,3690,1609,5979,5190,5396,2504,9863,6143,3883,1668,7692,4905,2942,1429,2635,1343,850,347,1763,1262,798,315,1666,1576,1112,
财务费用(万元),669,464,156,578,346,263,96,81,-12,-19,-13,125,140,146,44,-60,-115,-91,-4,-20,-18,-12,-5,19,53,69,
资产减值损失(万元),,,116,2048,484,181,137,3056,729,-64,116,2680,291,207,47,292,221,194,50,303,314,180,156,177,119,-117,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),71,83,46,292,278,226,76,568,278,234,93,517,339,197,45,101,1,1,1,1,1,1,1,7,,,
对联营企业和合营企业的投资收益(万元),,,,-103,,,,-145,,,,-5,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),13469,9184,3841,14661,10287,6470,1106,8690,7317,5200,928,7169,5637,3566,378,1889,1607,1072,276,3418,2282,1510,251,4027,4312,3885,
营业外收入(万元),16,13,19,51,23,16,91,11,7,3,190,1047,319,147,19,679,438,83,0,300,149,119,0,375,101,131,
营业外支出(万元),7,4,1,334,132,70,2,50,23,14,6,46,22,2,0,2,3,,,3,3,2,,6,9,11,
非流动资产处置损失(万元),,,,,,,,,,,,40,,,,,,,,,,,,1,2,3,
利润总额(万元),13477,9193,3860,14377,10178,6416,1195,8650,7301,5189,1112,8170,5935,3710,396,2566,2042,1155,276,3715,2428,1627,251,4396,4404,4004,
所得税费用(万元),1537,1121,378,1449,1453,1016,186,1644,1342,1021,174,1075,966,513,67,396,382,162,38,617,385,275,57,561,698,614,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),11941,8072,3481,12928,8725,5400,1008,7006,5959,4168,939,7094,4969,3197,329,2170,1660,993,238,3098,2043,1352,194,3835,3706,3390,
归属于母公司所有者的净利润(万元),12056,8119,3531,13100,8920,5519,1123,7757,6325,4407,988,7269,5089,3210,329,2170,1660,993,238,3098,2043,1352,194,3835,3708,3415,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,-126,
少数股东损益(万元),-116,-47,-50,-171,-195,-119,-115,-751,-366,-238,-49,-174,-121,-13,,,,,,,,,,,-1,-25,
基本每股收益,0.17,0.11,0.05,0.18,0.12,0.08,0.02,0.16,0.13,0.09,0.04,0.3,0.21,0.35,0.04,0.28,0.22,0.14,0.04,0.52,0.34,0.23,0.03,0.64,0.62,0.57,
稀释每股收益,0.17,0.11,0.05,0.18,0.12,0.08,0.02,0.16,0.13,0.09,0.04,0.3,0.21,0.35,0.04,0.28,0.22,0.14,0.04,0.52,0.34,0.23,0.03,0.64,0.62,0.57,
