报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),49804,32593,16482,82719,64536,41875,21722,77927,67713,61858,63213,
营业收入(万元),49804,32593,16482,82719,64536,41875,21722,77927,67713,61858,63213,
利息收入(万元),,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,
营业总成本(万元),39935,25741,13150,63094,47731,32418,17220,58882,54064,53562,54981,
营业成本(万元),31826,20579,10581,51312,40364,26253,13872,46815,45260,46179,46344,
利息支出(万元),,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),2260,1489,702,3145,2179,1409,742,3196,,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,
营业税金及附加(万元),233,132,89,410,331,194,122,299,310,264,152,
销售费用(万元),1097,594,307,1444,1063,726,379,1330,1666,1308,1508,
管理费用(万元),4519,2579,1327,6792,4846,3066,1319,6118,7736,6863,7212,
财务费用(万元),0,35,14,-1113,-1052,-376,129,435,-1093,-1203,-340,
资产减值损失(万元),,375,170,1104,,1147,657,690,186,150,104,
公允价值变动收益(万元),,,,,,,,,,,,
投资收益(万元),85,,,,,,,64,431,102,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),9318,6852,3332,19625,15655,9456,4502,19109,14080,8398,8233,
营业外收入(万元),383,320,268,118,81,25,24,120,180,266,265,
营业外支出(万元),50,3,0,64,59,31,4,29,48,91,173,
非流动资产处置损失(万元),,,,,,,,,44,86,163,
利润总额(万元),9651,7169,3599,19679,15677,9450,4522,19199,14212,8574,8325,
所得税费用(万元),1548,1102,537,2701,2356,1428,675,2735,1983,1138,1099,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),8104,6067,3062,16978,13321,8022,3847,16464,12229,7435,7226,
归属于母公司所有者的净利润(万元),8104,6067,3062,16978,13321,8022,3847,16464,12229,7435,7226,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,
基本每股收益,0.1,0.08,0.04,0.21,0.17,0.1,0.05,0.21,0.17,0.11,0.11,
稀释每股收益,0.1,0.08,0.04,0.21,0.17,0.1,0.05,0.21,0.17,0.11,0.11,
