报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),768582,500581,236907,864268,674430,443738,219021,830774,594335,399581,183349,773739,553437,308176,138630,671261,475482,289002,134220,607956,443587,289476,137931,546248,257696,122400,505400,446799,397500,
营业收入(万元),768582,500581,236907,864268,674430,443738,219021,830774,594335,399581,183349,773739,546969,308176,136150,671261,444201,289002,125695,607956,422626,276563,132653,546248,250777,,,446799,,
利息收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,6468,,2480,,31281,,8525,,20961,12913,5278,,6920,,,,,
营业总成本(万元),681307,439203,205798,769012,582789,383312,190875,735526,515951,349626,161179,681969,484095,265102,121495,574394,396717,236033,113169,498691,355049,224475,108662,436881,200984,,,362953,,
营业成本(万元),588478,376353,177429,646253,499216,328168,164194,623713,436865,299467,136808,576545,405515,214715,96051,464068,291396,184832,79544,383686,254590,163593,79569,330403,144374,,,262433,,
利息支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用(万元),1179,365,162,1822,894,,,,,,,,,,,,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,2008,,1156,,26094,,6761,,16427,10116,4035,,5897,,,,,
营业税金及附加(万元),3412,2274,1050,4923,3430,2523,767,5419,4132,2575,1221,5043,1479,1073,513,2746,1860,1236,583,2423,1784,1147,531,2249,1133,,,16192,,
销售费用(万元),3065,2086,1144,4404,3127,2128,1262,5305,2535,1710,800,2426,1482,808,250,3310,2965,1783,967,3390,2619,1765,893,2793,1340,,,1878,,
管理费用(万元),70031,47509,21139,84486,58778,38730,19553,78171,55072,33737,16279,73289,54788,36488,17371,78047,55296,34799,18254,78622,56562,36703,17954,76312,35975,,,66558,,
财务费用(万元),15142,10616,4874,20577,16331,10674,5111,22519,17377,12160,6071,23791,18920,11742,6206,26099,19660,13255,7059,29575,22879,11256,5680,23826,12381,,,15972,,
资产减值损失(万元),,,,6547,1013,1089,-11,398,-30,-22,-0,874,-96,275,-52,124,-554,127,,995,186,-106,-0,1298,-116,,,-80,,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益(万元),8712,5673,2640,15686,14580,11146,2555,8568,6748,4602,1526,5994,4289,3573,1599,2229,1558,2085,265,3272,2943,2232,486,2603,2073,,,3119,,
对联营企业和合营企业的投资收益(万元),8607,5542,2607,7948,6334,3777,2031,7190,5881,3597,1581,3778,3795,3180,1529,1409,966,1411,58,1460,1218,949,-167,2189,1801,,,-1446,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),110568,79797,39824,114131,107345,72525,37825,108629,85992,55105,23696,97764,73631,46647,18734,99096,80323,55054,21316,112538,91481,67233,29755,111970,58786,,,86965,,
营业外收入(万元),2973,496,96,4331,3329,2508,84,1800,1901,867,899,7139,3480,2038,948,5166,3397,3173,298,7721,2002,842,607,3926,315,,,1333,,
营业外支出(万元),208,22,17,668,108,54,59,238,62,30,19,547,115,75,29,417,114,54,19,306,107,52,21,565,128,,,1213,,
非流动资产处置损失(万元),,,,,,,,,12,9,2,232,32,37,2,295,9,16,1,165,16,4,0,277,2,,,152,,
