报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),21499,17233,6606,43627,32547,22932,9052,36422,24947,14301,4345,25584,17778,23750,17809,22134,
营业收入(万元),21499,17233,6606,43627,32547,22932,9052,36422,24947,14301,4345,25584,17778,23750,17809,22134,
利息收入(万元),,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,
营业总成本(万元),19355,14771,6236,37683,27124,19062,8540,29552,19804,11026,3857,18950,12977,16817,15064,15670,
营业成本(万元),5109,3859,2389,18881,14193,9663,4620,15980,7485,5188,1819,11519,7912,10245,7879,8926,
利息支出(万元),,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,
研发费用(万元),827,486,243,1624,767,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,
营业税金及附加(万元),352,214,98,572,397,239,84,489,379,226,88,264,144,336,176,266,
销售费用(万元),9987,8195,2475,12603,9265,6801,2360,7264,7655,2809,504,1945,1356,1754,1488,1477,
管理费用(万元),3050,2054,995,3693,2334,2102,1355,5809,4056,2768,1220,4937,3282,4504,5473,3252,
财务费用(万元),29,-37,-25,-221,-174,-124,-71,-160,10,3,-3,-154,-139,-52,24,58,
资产减值损失(万元),,,62,532,342,380,192,170,220,32,229,438,422,30,23,1691,
公允价值变动收益(万元),,,,,,,,,,,,,,,,,
投资收益(万元),123,99,,,,,,,,,,,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,
营业利润(万元),2159,2444,370,7019,5580,3999,512,7681,5142,3275,488,6634,4801,6932,2745,6464,
营业外收入(万元),3,1,,8,25,20,126,38,557,360,3,463,467,1250,453,144,
营业外支出(万元),57,40,1,27,11,8,6,71,25,6,4,28,23,32,51,46,
非流动资产处置损失(万元),,,,,,,,,,0,,0,,4,0,,
利润总额(万元),2105,2404,369,7000,5595,4012,632,7648,5674,3629,487,7069,5246,8150,3147,6562,
所得税费用(万元),215,381,54,910,861,563,71,1198,981,375,354,944,698,1819,328,1974,
未确认投资损失(万元),,,,,,,,,,,,,,,,,
净利润(万元),1890,2022,315,6090,4734,3449,561,6451,4693,3253,134,6125,4547,6332,2819,4588,
归属于母公司所有者的净利润(万元),1890,2022,315,6090,4734,3449,561,6451,4693,3253,134,6125,4547,6332,2819,4588,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,
基本每股收益,0.12,0.13,0.02,0.38,0.3,0.22,0.04,0.5,0.29,0.27,0.01,0.51,0.38,0.55,0.26,0.43,
稀释每股收益,0.12,0.13,0.02,0.38,0.3,0.22,0.04,0.5,0.29,0.27,0.01,0.51,0.38,0.55,0.26,0.43,
