报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),54459,34628,70942,52412,32063,62795,57558,58055,60596,
营业收入(万元),54459,34628,70942,52412,32063,62795,57558,58055,60596,
利息收入(万元),,,,,,,,,,
已赚保费(万元),,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,
其他业务收入(万元),,,,,,,,,,
营业总成本(万元),42893,27713,59689,42306,27406,52428,50941,49805,51946,
营业成本(万元),31141,20014,41948,30721,18552,37647,35311,36486,39024,
利息支出(万元),,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,
研发费用(万元),2902,1822,3620,2602,1674,3197,,,,
退保金(万元),,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,
保单红利支出(万元),,,,,,,,,,
分保费用(万元),,,,,,,,,,
其他业务成本(万元),,,,,,,,,,
营业税金及附加(万元),668,458,1106,806,492,1140,851,593,445,
销售费用(万元),4030,2592,5673,4068,2626,5480,4859,4643,4574,
管理费用(万元),4452,2846,5774,4271,2760,4735,7134,7775,7472,
财务费用(万元),-300,-20,-135,-162,-59,-54,-90,-240,-58,
资产减值损失(万元),,,1701,,1361,282,2876,547,488,
公允价值变动收益(万元),-2,2,-5,-3,-3,,,,,
投资收益(万元),868,852,1371,730,659,680,264,290,721,
对联营企业和合营企业的投资收益(万元),112,108,99,109,,,,,,
汇兑收益(万元),,,,,,,,,,
期货损益(万元),,,,,,,,,,
托管收益(万元),,,,,,,,,,
补贴收入(万元),,,,,,,,,,
其他业务利润(万元),,,,,,,,,,
营业利润(万元),14317,8341,14043,9886,5691,11930,6880,8540,9371,
营业外收入(万元),871,703,2381,1799,1276,837,1845,1381,1438,
营业外支出(万元),33,14,54,51,45,62,65,87,103,
非流动资产处置损失(万元),,,,,,,0,2,1,
利润总额(万元),15156,9029,16369,11633,6923,12705,8660,9835,10707,
所得税费用(万元),2138,1278,2303,1761,1073,1898,1292,1431,1582,
未确认投资损失(万元),,,,,,,,,,
净利润(万元),13017,7751,14066,9872,5850,10808,7368,8403,9125,
归属于母公司所有者的净利润(万元),13016,7760,14082,9899,5871,10860,7389,8403,9022,
被合并方在合并前实现净利润(万元),,,,,,,,,,
少数股东损益(万元),1,-8,-15,-26,-21,-52,,,,
基本每股收益,1.4,0.87,1.57,1.11,0.66,1.21,0.83,0.94,0.99,
稀释每股收益,1.4,0.87,1.57,1.11,0.66,1.21,0.83,0.94,0.99,
