报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),60586,39690,19303,65773,46505,31362,16452,62837,47716,31112,14867,66582,50288,34393,62615,59818,49402,
营业收入(万元),60586,39690,19303,65773,46505,31362,16452,62837,47716,31112,14867,66582,50288,34393,62615,59818,49402,
利息收入(万元),,,,,,,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,,,,,,
营业总成本(万元),56808,37242,17301,60931,43008,28017,15030,57609,42086,27663,13415,59299,43615,30864,55698,53293,46204,
营业成本(万元),41003,26808,12544,44540,30464,19873,11045,43541,30505,21231,9795,44070,31991,22384,43015,41247,36778,
利息支出(万元),,,,,,,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,,,,,,
研发费用(万元),889,529,152,437,,,,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,,,,
营业税金及附加(万元),437,318,169,501,306,213,99,358,264,193,71,369,228,152,301,240,107,
销售费用(万元),6678,4258,2018,8398,6391,4516,2129,7156,6540,3347,1599,5310,5127,2625,3811,3385,2406,
管理费用(万元),5963,3954,1583,4871,4271,2578,1373,5521,4009,2667,1412,6292,4814,2479,5346,4810,3416,
财务费用(万元),1837,1374,800,2120,1532,840,379,1114,758,244,539,1781,1481,913,2512,2796,2645,
资产减值损失(万元),,,21,44,,-3,6,-80,10,10,-2,-27,-27,-27,-59,-160,375,
公允价值变动收益(万元),526,330,-218,17,-334,-890,119,800,-431,-28,86,1504,-1504,2338,773,976,478,
投资收益(万元),,,,,,,,,0,,0,,1,,,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,
营业利润(万元),4567,2930,1939,6467,4063,2905,1752,7079,5200,4156,1538,7283,5170,3529,6917,6525,3198,
营业外收入(万元),209,153,129,306,68,46,58,55,1288,35,292,1727,1378,1186,1679,866,1071,
营业外支出(万元),307,24,17,254,255,178,12,29,441,65,7,96,452,35,29,22,445,
非流动资产处置损失(万元),,,,,,,,,420,52,,17,413,7,2,,329,
利润总额(万元),4468,3059,2050,6518,3875,2773,1798,7106,6045,4126,1823,8914,6095,4681,8567,7369,3825,
所得税费用(万元),654,389,202,165,177,140,25,270,620,351,24,1323,733,918,1242,828,361,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,
净利润(万元),3815,2670,1848,6353,3698,2633,1773,6835,5425,3774,1799,7591,5362,3762,7325,6541,3464,
归属于母公司所有者的净利润(万元),3815,2670,1848,6353,3698,2633,1773,6835,5425,3774,1799,7591,5362,3762,7325,6541,3464,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,
基本每股收益,0.2,0.14,0.1,0.34,0.2,0.14,0.08,0.46,0.39,0.27,0.11,0.54,0.37,0.27,0.65,0.62,0.33,
稀释每股收益,0.19,0.14,0.1,0.34,0.2,0.14,0.08,0.46,0.39,0.27,0.11,0.54,0.37,0.27,0.65,0.62,0.33,
