报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),106703,74800,38279,125505,88492,61366,26710,87315,59059,67158,77379,68151,
营业收入(万元),106703,74800,38279,125505,88492,61366,26710,87315,59059,67158,77379,68151,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),95031,66963,34624,112508,76609,51389,22917,75196,50153,58205,71614,63500,
营业成本(万元),30025,23519,13718,37834,26080,19192,7913,40955,34503,45489,59483,52376,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),1728,1058,572,4621,2324,,480,,2064,,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),1225,896,495,1537,1104,812,295,1063,679,896,484,351,
销售费用(万元),58688,39613,19190,64675,45238,29603,13565,23157,8779,2793,2195,2339,
管理费用(万元),4813,2884,1085,5202,3328,3043,702,8598,3026,7389,7152,6750,
财务费用(万元),-1448,-1008,-405,-375,-57,11,65,592,540,793,1521,1456,
资产减值损失(万元),,,-32,-987,-1408,-1273,-103,831,561,846,779,228,
公允价值变动收益(万元),,,,,,,,,,,,,
投资收益(万元),-369,-239,-129,-253,-10,33,63,-42,41,-16,338,322,
对联营企业和合营企业的投资收益(万元),-393,-263,-129,-401,-158,-115,-158,-99,-14,-98,-31,-51,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),12173,8402,4263,13124,12112,10248,4095,12372,9241,8933,6103,4972,
营业外收入(万元),14,12,40,703,443,379,92,327,157,705,876,808,
营业外支出(万元),147,119,119,96,38,30,,345,234,121,166,763,
非流动资产处置损失(万元),,,,,,,,,,,,646,
利润总额(万元),12040,8295,4185,13731,12518,10597,4187,12354,9164,9517,6813,5017,
所得税费用(万元),2106,1385,613,1564,1645,1372,569,1810,1271,1423,1003,866,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),9934,6910,3571,12167,10873,9225,3618,10543,7893,8093,5810,4151,
归属于母公司所有者的净利润(万元),9040,6521,3361,10870,9920,8449,3354,10109,7825,8219,6403,5013,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),894,390,211,1297,952,776,264,435,68,-126,-593,-862,
基本每股收益,1,0.72,0.37,1.53,1.47,1.25,0.5,1.5,1.16,1.22,0.95,0.74,
稀释每股收益,1,0.72,0.37,1.53,1.47,1.25,0.5,1.5,1.16,1.22,0.95,0.74,
