报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
营业总收入(万元),27065,15791,2637,48001,29874,19570,5140,51726,55156,34957,
营业收入(万元),27065,15791,2637,48001,29874,19570,5140,51726,55156,34957,
利息收入(万元),,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,
营业总成本(万元),23851,13452,2773,39083,26270,17579,5190,43305,44493,29342,
营业成本(万元),18697,10785,1775,30707,19810,12983,3424,33505,33849,23810,
利息支出(万元),,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),1022,546,194,1651,1251,817,331,2024,2165,1212,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,
营业税金及附加(万元),93,71,22,301,138,120,26,409,449,268,
销售费用(万元),2067,1012,382,3985,3139,2314,806,4487,5324,2369,
管理费用(万元),2117,1246,526,2933,2095,1446,602,2843,2455,1518,
财务费用(万元),-145,-208,-125,-494,-163,-101,0,-105,37,28,
资产减值损失(万元),,,,,,,,143,214,137,
公允价值变动收益(万元),,,,,,,,,,,
投资收益(万元),5,5,4,315,279,203,102,315,275,68,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),3288,2412,-36,9342,4044,2354,-34,8918,11104,5683,
营业外收入(万元),243,201,201,534,32,,,612,99,56,
营业外支出(万元),10,10,10,22,10,,,34,12,56,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),3521,2603,155,9853,4066,2354,-34,9497,11191,5683,
所得税费用(万元),552,337,29,1386,641,301,14,1293,1542,1010,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),2969,2266,126,8467,3425,2053,-48,8203,9648,4673,
归属于母公司所有者的净利润(万元),2969,2266,126,8467,3425,2053,-48,8203,9648,4673,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,
基本每股收益,0.29,0.23,0.01,0.87,0.35,0.21,-0.01,0.91,,,
稀释每股收益,0.29,0.23,0.01,0.87,0.35,0.21,-0.01,0.91,,,
