报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),27824,17652,8863,35045,25069,15616,6552,28813,9859,16544,7071,17312,7979,14403,11950,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),48,46,27,73,56,26,,5,,3,,,,,2,
收到的其他与经营活动有关的现金(万元),288,170,582,325,140,94,9,355,259,325,130,145,380,422,622,
经营活动现金流入小计(万元),28159,17867,9472,35443,25264,15737,6561,29173,10118,16871,7201,17457,8359,14826,12574,
购买商品、接受劳务支付的现金(万元),18850,11533,6036,23674,20236,13141,5577,17608,7372,10948,4057,9406,5228,8166,7710,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4162,2622,1972,4738,3536,2185,1478,3563,1565,2839,1388,2659,1380,2176,1848,
支付的各项税费(万元),2518,1873,1057,3342,2417,1824,1314,2707,797,2405,1326,2207,1211,1447,1474,
支付的其他与经营活动有关的现金(万元),1719,1015,1002,2191,1257,758,505,1265,543,1193,604,1208,733,1312,1349,
经营活动现金流出小计(万元),27250,17043,10067,33944,27446,17908,8873,25144,10277,17385,7375,15480,8552,13101,12381,
经营活动产生的现金流量净额(万元),909,824,-595,1499,-2182,-2171,-2312,4029,-159,-514,-174,1977,-193,1724,192,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,,13,13,1,1,,,14,2,134,122,0,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,92,,,,590,590,600,300,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),1,1,0,13,13,1,1,92,0,14,2,724,712,600,300,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),610,418,215,1726,434,384,80,842,433,346,219,429,114,4193,4654,
投资所支付的现金(万元),,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,46,46,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,150,,300,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),610,418,215,1726,434,384,80,888,479,496,219,729,114,4193,4654,
投资活动产生的现金流量净额(万元),-609,-417,-215,-1713,-421,-383,-79,-796,-479,-482,-217,-5,598,-3593,-4354,
吸收投资收到的现金(万元),32115,,,,,,,,,,,4805,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,
取得借款收到的现金(万元),3000,3000,,5500,3000,2890,,5000,2500,5000,2500,2500,2500,3500,6500,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),35115,3000,0,5500,3000,2890,0,5000,2500,5000,2500,7305,2500,3500,6500,
偿还债务支付的现金(万元),5200,3000,,5000,3500,2500,,5000,2500,4900,4900,4300,2500,3300,1000,
分配股利、利润或偿付利息所支付的现金(万元),1388,1330,66,640,587,520,460,566,446,512,107,750,206,617,699,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1059,28,,130,115,100,10,62,23,121,48,,,,,
筹资活动现金流出小计(万元),7647,4358,66,5770,4202,3120,470,5628,2969,5534,5056,5050,2706,3917,1699,
筹资活动产生的现金流量净额(万元),27468,-1358,-66,-270,-1202,-230,-470,-628,-469,-534,-2556,2256,-206,-417,4801,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,0,0,,0,-0,
现金及现金等价物净增加额(万元),27769,-951,-876,-484,-3804,-2785,-2862,2605,-1106,-1529,-2947,4228,199,-2286,640,
加:期初现金及现金等价物余额(万元),6973,6973,6973,7457,7457,7457,7457,4852,4852,6381,6381,2153,2153,4439,3799,
期末现金及现金等价物余额(万元),34742,6022,6097,6973,3653,4672,4595,7457,3745,4852,3434,6381,2352,2153,4439,
净利润(万元),,3384,,6151,,,,4427,,3349,1398,2944,1223,1890,1627,
少数股东损益(万元),,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,
资产减值准备(万元),,302,,829,,,,58,,766,297,508,302,355,232,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,492,,949,,,,891,,861,430,858,429,649,593,
无形资产摊销(万元),,26,,34,,,,31,,31,16,28,13,24,19,
长期待摊费用摊销(万元),,3,,,,,,,,,,21,4,9,9,
待摊费用的减少(万元),,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-0,,-15,,,,,,-10,-2,-8,,0,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,
财务费用(万元),,127,,238,,,,238,,190,100,390,205,167,161,
投资损失(万元),,,,,,,,,,,,,,,,
递延所得税资产减少(万元),,-10,,-102,,,,-9,,17,32,-140,-136,-141,4,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,
存货的减少(万元),,-646,,-4579,,,,-6528,,-1820,403,-1121,-494,-1010,102,
经营性应收项目的减少(万元),,-2029,,-3837,,,,-633,,-3476,-937,-2040,-1277,-2504,-492,
经营性应付项目的增加(万元),,-825,,1831,,,,5555,,-421,-1912,537,-461,2287,-2064,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,824,,1499,,,,4029,,-514,-174,1977,-193,1724,192,
债务转为资本(万元),,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,
现金的期末余额(万元),34742,6022,6097,6973,3653,4672,4595,7457,3745,4852,3434,6381,2352,2153,4439,
现金的期初余额(万元),6973,6973,6973,7457,7457,7457,7457,4852,4852,6381,6381,2153,2153,4439,3799,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),27769,-951,-876,-484,-3804,-2785,-2862,2605,-1106,-1529,-2947,4228,199,-2286,640,

