报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),31146,20225,8684,40441,27066,17199,7113,32476,21967,13079,5234,26147,17440,10788,4359,18803,7765,12808,8785,5057,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,117,,,,114,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1645,1550,357,2947,2690,2016,166,1175,401,232,13,1271,654,637,48,504,170,215,286,254,
经营活动现金流入小计(万元),32791,21775,9041,43388,29872,19215,7279,33650,22482,13310,5247,27418,18094,11426,4406,19307,7936,13022,9071,5311,
购买商品、接受劳务支付的现金(万元),8729,6904,3069,8512,7174,4152,1810,8036,4393,4277,1843,6924,6090,3320,1250,3929,1335,2120,1838,1673,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6116,3837,1906,7187,4895,3178,1767,5875,3476,2295,1085,3952,2543,1609,804,3217,1204,2173,1663,1278,
支付的各项税费(万元),4403,2804,1681,6461,4262,2598,1480,5083,3443,1919,1325,3428,2516,1649,787,2686,1046,1979,1023,463,
