报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),3484648,2070965,1214763,4366467,2782881,1922275,1110327,3872896,2345010,1540573,811074,3555385,2131848,1364521,741894,3031565,2318610,1367143,813083,2994824,2157656,1175508,781557,3236899,2850176,2358540,
客户存款和同业存放款项净增加额(万元),-380387,296251,64440,101255,145386,-60914,-66467,174218,221275,26765,21849,-41182,363749,-27304,-116956,205000,217261,260005,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,30000,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),12084,7842,3980,15250,11487,7459,3935,16138,12098,6918,3458,10284,5999,4011,2472,3152,1150,154,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),1238,1065,687,3385,1457,796,315,2451,1933,1681,668,2919,1855,1346,949,1765,1159,915,288,952,648,319,197,769,2346,863,
收到的其他与经营活动有关的现金(万元),367798,223282,142926,362380,320377,208792,176913,339447,265835,147826,67790,238904,215206,85466,83569,168322,129790,78643,105063,208462,161555,105591,136001,198055,149012,41715,
经营活动现金流入小计(万元),3485381,2599405,1426797,4848737,3261588,2078408,1225024,4405149,2846151,1753763,904839,3766311,2718657,1428040,711928,3409805,2667970,1706860,918434,3204238,2319859,1281419,917754,3435724,3001534,2401117,
购买商品、接受劳务支付的现金(万元),3370952,2345549,1506813,3531088,2652932,1861394,1197543,2989114,2236097,1565598,936233,2786661,1943689,1365741,845870,2358514,1852355,1287862,824720,2426152,1865775,993910,856637,2603681,2163204,1861784,
客户贷款及垫款净增加额(万元),-120208,-66469,-2988,-8741,-15684,-15758,7136,2449,-22000,-12000,,126500,67000,57000,39800,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),3495,11021,-3032,9655,22342,847,3868,6279,20167,8392,7138,8457,32871,14967,-4940,22366,287440,29910,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),4678,2778,1007,7399,2825,1655,761,1369,1033,632,260,778,509,284,228,297,59,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),475680,289323,147663,609960,404348,254571,121248,566980,375116,228848,118396,573898,333968,230699,111451,555373,344827,243058,126009,520021,364141,219971,110631,470284,398030,326351,
支付的各项税费(万元),99631,79196,28837,159718,113348,83380,41892,133933,93779,69757,29374,175815,107613,94436,37014,149764,103116,93127,29834,148151,100432,70023,27634,122983,115030,91375,
支付的其他与经营活动有关的现金(万元),562498,390135,198390,475692,383399,277804,226380,467808,325141,186491,145860,367304,285292,157430,125394,255823,228766,140408,268583,363025,333216,311256,87628,316705,169454,145908,
经营活动现金流出小计(万元),4396726,3051533,1876689,4784772,3563510,2463892,1598829,4167932,3029332,2047719,1237261,4039413,2770942,1920557,1154816,3342137,2816564,1794366,1249145,3457350,2663564,1595160,1082529,3513652,2845718,2425418,
经营活动产生的现金流量净额(万元),-911345,-452128,-449892,63965,-301922,-385484,-373805,237217,-183181,-293956,-332422,-273102,-52285,-492517,-442888,67668,-148594,-87506,-330711,-253112,-343705,-313741,-164774,-77929,155816,-24301,
收回投资所收到的现金(万元),170824,134287,105570,100312,57812,40273,48715,242233,206839,181221,16647,142596,88888,62107,24733,163175,20659,17404,4467,21889,,,,387,7099,,
取得投资收益所收到的现金(万元),909,350,298,2454,1617,1139,4,1420,959,256,43,1742,1451,143,142,1442,1296,1200,,6307,11258,8934,,5459,414,98,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),151,150,3,2048,1698,1771,493,546,232,159,86,3645,2657,12,3,10143,939,2079,3,2648,4758,1279,176,3771,1597,6886,
处置子公司及其他营业单位收到的现金净额(万元),600,,,18847,,,,,,,,,,,,,,,,14061,9287,9287,434,304,314,,
收到的其他与投资活动有关的现金(万元),11614,11296,2430,42347,19940,17609,404,2503,1823,1212,604,5241,4535,3869,370,,60,,,,10,,53,,,7305,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),184098,146083,108300,166009,81068,60792,49616,246702,209852,182849,17379,153224,97532,66131,25249,174760,22954,20683,4470,44905,25312,19500,663,9921,9423,14289,
