报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),191015,149595,85393,270460,174830,109025,51634,238780,162950,98993,53385,174073,102957,59984,24643,32820,39806,26645,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,19,,,,,,,,222,109,,,,,,
收到的其他与经营活动有关的现金(万元),1717,467,821,1645,9712,3947,2870,6432,4956,2868,1121,4878,1507,1838,253,510,1313,4731,
经营活动现金流入小计(万元),192732,150062,86214,272124,184542,112972,54504,245212,167906,101861,54506,179172,104573,61822,24897,33330,41119,31376,
购买商品、接受劳务支付的现金(万元),143865,116749,73822,202022,164829,110603,65467,187240,145278,96358,52981,121232,71811,34180,16006,23164,25661,21324,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),21344,17771,10219,27283,19162,15143,7638,21343,16385,12052,7785,19505,13846,8879,4617,6686,6267,3623,
支付的各项税费(万元),14473,11252,5329,12630,13240,11620,2267,8531,7405,6782,3259,9271,5127,3403,1797,3071,2365,2343,
支付的其他与经营活动有关的现金(万元),14349,6643,6408,14896,20327,10684,5218,20434,14442,8846,5270,17648,9547,6564,1942,5471,4840,3145,
经营活动现金流出小计(万元),194031,152415,95777,256832,217559,148050,80590,237548,183510,124038,69294,167655,100331,53026,24362,38393,39132,30435,
经营活动产生的现金流量净额(万元),-1299,-2353,-9564,15293,-33017,-35078,-26086,7663,-15604,-22177,-14788,11517,4242,8796,535,-5063,1987,941,
