报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),50744,29388,19084,57548,31201,18985,7709,13356,10573,7665,5247,13283,8455,5111,5678,12359,7033,5198,3458,9875,11665,6460,9550,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),858,1175,,408,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1920,1445,434,2003,442,86,57,100,71,67,991,105,60,46,608,544,387,214,2,319,148,37,283,
经营活动现金流入小计(万元),53522,32008,19517,59959,31643,19071,7766,13456,10644,7732,6238,13388,8515,5157,6286,12903,7420,5412,3459,10194,11813,6497,9833,
购买商品、接受劳务支付的现金(万元),39291,28814,12476,51902,35145,20382,5797,18680,12643,9862,6333,14542,11109,5190,4190,7681,4756,2901,1573,7806,8191,6740,4519,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8538,5810,3298,9006,6210,3655,1869,6281,3456,2158,1517,3803,2194,1637,859,2635,1961,1165,673,2510,2063,1419,745,
支付的各项税费(万元),6427,5290,1118,7620,4459,3030,1855,3911,2521,1990,939,2241,1547,1075,666,1735,1442,1028,611,1328,1756,1354,626,
支付的其他与经营活动有关的现金(万元),5297,2209,2910,11531,9577,4454,1616,8215,5608,4972,1348,4460,2045,1784,1579,2506,2030,1386,726,2679,2543,1819,1367,
