报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),33456,21037,13571,51155,33405,23141,11838,41365,40643,36010,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),2227,1525,944,2545,1602,1111,620,2365,1076,1695,
收到的其他与经营活动有关的现金(万元),1062,1290,469,1793,925,798,374,1911,1635,699,
经营活动现金流入小计(万元),36746,23852,14985,55494,35932,25050,12832,45641,43354,38405,
购买商品、接受劳务支付的现金(万元),18462,13571,8108,26474,18982,12567,6052,25505,24304,21716,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4446,3177,1915,6723,4988,3278,1782,6529,5601,4439,
支付的各项税费(万元),2165,1592,905,2552,1798,1268,614,2407,2522,1429,
支付的其他与经营活动有关的现金(万元),4385,2252,1080,5977,4010,2481,1478,4071,4035,4778,
经营活动现金流出小计(万元),29458,20592,12008,41727,29779,19595,9926,38512,36463,32362,
经营活动产生的现金流量净额(万元),7288,3260,2977,13766,6153,5455,2906,7129,6891,6042,
收回投资所收到的现金(万元),,,,,,,,,,5395,
取得投资收益所收到的现金(万元),,,,,,,,,,787,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1388,1388,1388,661,74,2,1,19,5,18,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),42082,30115,17553,36578,22578,10541,10717,26335,19179,14162,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),43470,31502,18941,37239,22652,10543,10719,26353,19183,20361,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),8624,6086,3078,6655,2880,1517,514,6524,465,620,
投资所支付的现金(万元),,,,,,,,,85,4760,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),89400,30800,20500,37000,20500,8000,7711,32210,19000,3180,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),98024,36886,23578,43655,23380,9517,8225,38734,19550,8560,
投资活动产生的现金流量净额(万元),-54554,-5383,-4637,-6416,-729,1027,2493,-12381,-367,11802,
吸收投资收到的现金(万元),,,,,,,,,365,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),151,155,,,,,,,490,3501,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),52518,,,,,,,,300,3220,
筹资活动现金流入小计(万元),52669,155,0,0,0,0,0,0,1155,6721,
偿还债务支付的现金(万元),,,,,,,,,492,9500,
分配股利、利润或偿付利息所支付的现金(万元),,,,5280,5280,5280,5280,,9552,5799,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),2074,,,,,,,,247,439,
筹资活动现金流出小计(万元),2074,0,0,5280,5280,5280,5280,0,10291,15738,
筹资活动产生的现金流量净额(万元),50595,155,0,-5280,-5280,-5280,-5280,0,-9136,-9017,
汇率变动对现金及现金等价物的影响(万元),-109,73,129,64,98,-11,-215,158,-371,378,
现金及现金等价物净增加额(万元),3220,-1896,-1532,2135,242,1191,-96,-5093,-2982,9206,
加:期初现金及现金等价物余额(万元),4096,4096,4096,1962,1962,1962,1962,7055,10038,832,
期末现金及现金等价物余额(万元),7316,2201,2565,4096,2204,3153,1866,1962,7055,10038,
净利润(万元),,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,,,,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,,,,,,,,,
无形资产摊销(万元),,,,,,,,,,,
长期待摊费用摊销(万元),,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,,,
固定资产报废损失(万元),,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,
