报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),61224,35938,17772,83610,44877,23230,9300,79186,47641,20830,8703,42395,35190,22920,29149,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),2825,2583,1890,8740,6206,2311,1844,5077,3046,1808,1190,3061,2019,1030,1214,
收到的其他与经营活动有关的现金(万元),6579,4821,3109,8916,8363,6808,1581,2964,2708,1524,1326,1870,1169,766,1071,
经营活动现金流入小计(万元),70628,43342,22771,101267,59447,32349,12726,87227,53395,24162,11219,47326,38378,24716,31435,
购买商品、接受劳务支付的现金(万元),16360,10769,5100,22338,18515,13856,7860,24910,19163,10219,4885,11898,7050,7587,6244,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),22336,15324,6048,21341,16130,10667,4238,15054,11503,8118,3164,11629,9372,7713,7227,
支付的各项税费(万元),11093,10749,9875,18458,14830,6215,5138,10498,7071,4916,4030,6183,6706,3441,4529,
支付的其他与经营活动有关的现金(万元),10141,6998,3336,16517,12283,8010,4042,15729,9990,3936,2432,7155,4835,3420,3307,
经营活动现金流出小计(万元),59929,43840,24359,78653,61759,38748,21279,66191,47726,27190,14511,36865,27962,22161,21307,
经营活动产生的现金流量净额(万元),10699,-498,-1588,22614,-2312,-6399,-8554,21036,5670,-3028,-3291,10461,10415,2555,10128,
收回投资所收到的现金(万元),5000,,,271,271,271,,,,,,450,,,,
取得投资收益所收到的现金(万元),106,,,58,58,58,,,,,,488,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,0,0,2,2,2,,,1,,,1,0,0,8,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),5115,0,0,331,331,331,0,0,1,0,0,938,0,0,8,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6867,4678,3367,5362,3587,2860,1780,2852,2444,1339,747,3617,1882,2928,2509,
投资所支付的现金(万元),,,,6072,,,,,,,,,,,721,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),6867,4678,3367,11434,3587,2860,1780,2852,2444,1339,747,3617,1882,2928,3230,
投资活动产生的现金流量净额(万元),-1752,-4678,-3367,-11103,-3256,-2529,-1780,-2852,-2443,-1339,-747,-2679,-1882,-2928,-3222,
吸收投资收到的现金(万元),,,,,,,,47479,,,,,11947,1316,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,,,,,1500,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,150,,
筹资活动现金流入小计(万元),0,0,0,0,0,0,0,47479,0,0,0,0,11947,2966,0,
偿还债务支付的现金(万元),,,,,,,,,,,,,,1500,,
分配股利、利润或偿付利息所支付的现金(万元),6937,6892,,5003,5003,5003,,4000,4000,4000,,5000,1800,1528,3000,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,1208,,,,,,,150,
筹资活动现金流出小计(万元),6937,6892,0,5003,5003,5003,0,5208,4000,4000,0,5000,1800,3028,3150,
筹资活动产生的现金流量净额(万元),-6937,-6892,0,-5003,-5003,-5003,0,42272,-4000,-4000,0,-5000,10147,-62,-3150,
汇率变动对现金及现金等价物的影响(万元),229,9,-140,343,378,102,-255,-429,-243,-129,-25,197,96,2,-9,
现金及现金等价物净增加额(万元),2238,-12060,-5095,6851,-10193,-13828,-10589,60026,-1017,-8496,-4063,2980,18776,-433,3747,
加:期初现金及现金等价物余额(万元),105196,105196,105196,98345,98345,98345,98345,38319,38319,38319,38319,35339,16564,16997,13250,
期末现金及现金等价物余额(万元),107434,93136,100100,105196,88152,84517,87756,98345,37302,29823,34256,38319,35339,16564,16997,
净利润(万元),,6634,,20475,,6210,,13233,,3587,,10056,8824,7834,5726,
少数股东损益(万元),,,,,,,,,,,,,,,,
