报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,48996,40848,,,,
收取利息、手续费及佣金的现金(万元),162507,98879,,,132396,89609,,,,
拆入资金净增加额(万元),10000,,,,,,,,,
回购业务资金净增加额(万元),564684,446558,,,333641,136810,,,,
收到的税费返还(万元),,,,,,,,,,
收到的其他与经营活动有关的现金(万元),90087,28435,,,1880,1602,,,,
经营活动现金流入小计(万元),917850,780496,,,768549,532800,,,,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),35125,19078,,,25476,10235,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),48312,36813,,,43122,29631,,,,
支付的各项税费(万元),16438,10895,,,17942,11782,,,,
支付的其他与经营活动有关的现金(万元),87812,42658,,,18203,17299,,,,
经营活动现金流出小计(万元),1189476,901419,,,218465,113939,,,,
经营活动产生的现金流量净额(万元),-271627,-120923,-112266,124079,550084,418861,429646,91972,-393341,
收回投资所收到的现金(万元),153330,70146,,,,,,,,
取得投资收益所收到的现金(万元),1163,464,,,595,595,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),474,221,,,80,19,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),154968,70831,,,222374,202312,,,,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),5586,2305,,,5510,2455,,,,
投资所支付的现金(万元),296782,121806,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),302368,124112,,,389163,172302,,,,
投资活动产生的现金流量净额(万元),-147401,-53281,11015,5555,-166790,30010,-19889,-21683,70395,
吸收投资收到的现金(万元),193808,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,
发行债券收到的现金(万元),1196075,824278,,,166000,136000,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,
筹资活动现金流入小计(万元),1389883,824278,,,166000,136000,,,,
偿还债务支付的现金(万元),756411,556411,,,112000,112000,,,,
分配股利、利润或偿付利息所支付的现金(万元),27884,16579,,,100928,11153,,,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),5732,,,,,,,,,
筹资活动现金流出小计(万元),790027,577056,,,216529,126476,,,,
筹资活动产生的现金流量净额(万元),599857,247221,355815,-60929,-50529,9524,44322,-49023,250907,
汇率变动对现金及现金等价物的影响(万元),476,564,,,827,116,,1361,-2497,
现金及现金等价物净增加额(万元),181305,73581,255164,68705,333592,458511,453461,21266,-72039,
加:期初现金及现金等价物余额(万元),1225083,1225083,,326955,900174,900174,,304329,378865,
期末现金及现金等价物余额(万元),1406388,1298664,1480248,396265,1233767,1358685,1353636,326955,304329,
净利润(万元),,32124,,,,,,,,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,,,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,4823,,,,,,,,
无形资产摊销(万元),,1997,,,,,,,,
长期待摊费用摊销(万元),,937,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-16,,,,,,,,
固定资产报废损失(万元),,,,,,,,,,
公允价值变动损失(万元),,-2785,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,
预计负债(万元),,,,,,,,,,
财务费用(万元),,17762,,,,,,,,
投资损失(万元),,-12768,,,,,,,,
递延所得税资产减少(万元),,410,,,,,,,,
递延所得税负债增加(万元),,,,,,,,,,
存货的减少(万元),,,,,,,,,,
经营性应收项目的减少(万元),,-86585,,,,,,,,
经营性应付项目的增加(万元),,577468,,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,
其他(万元),,,,,,,,,,
经营活动产生现金流量净额(万元),,-120923,,,,,,,,
债务转为资本(万元),,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,
现金的期末余额(万元),1406388,1250550,1480248,396265,1233767,1358685,1353636,326955,304329,
现金的期初余额(万元),1225083,1140328,,326955,900174,900174,,304329,378865,
现金等价物的期末余额(万元),,48114,,,,,,,,
现金等价物的期初余额(万元),,84755,,,,,,,,
现金及现金等价物的净增加额(万元),181305,73581,255164,68705,333592,458511,453461,21266,-72039,

