报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),77964,52561,106071,73626,39230,111582,76171,70054,94670,86702,60741,38298,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),1642,1442,2301,2019,1250,2891,914,755,1191,679,968,792,
收到的其他与经营活动有关的现金(万元),1776,1393,2186,612,605,3405,8136,1511,3132,6430,2205,2272,
经营活动现金流入小计(万元),81382,55397,110558,76257,41085,117878,85221,72320,98993,93811,63914,41362,
购买商品、接受劳务支付的现金(万元),55892,35646,69411,58343,36067,71568,52031,47603,79736,68590,62516,32663,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9249,6080,11218,7918,5107,9529,7171,6866,6857,5894,4393,2366,
支付的各项税费(万元),5412,3891,3959,1863,1325,5221,2677,2845,1880,2683,1598,1181,
支付的其他与经营活动有关的现金(万元),8509,4867,11218,7235,3501,11888,7962,6924,4613,3274,2989,1668,
经营活动现金流出小计(万元),79062,50485,95806,75358,45999,98207,69841,64237,93087,80440,71497,37878,
经营活动产生的现金流量净额(万元),2320,4912,14752,899,-4914,19671,15380,8083,5906,13370,-7582,3484,
收回投资所收到的现金(万元),,,,,,,,300,,,,,
取得投资收益所收到的现金(万元),13,13,199,18,16,5,34,39,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,3,16,5,5,17,116,591,8,189,124,42,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),122,62,224,170,102,178,243,690,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),138,78,439,193,124,200,393,1620,8,189,124,42,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),13726,7900,7008,5012,4118,7788,8415,6297,25465,19989,11133,18549,
投资所支付的现金(万元),200,,,,,,,,300,,,900,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,1,
支付的其他与投资活动有关的现金(万元),,,,,,,,,31,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),13926,7900,7008,5012,4118,7788,8415,6297,25796,19989,11133,19449,
投资活动产生的现金流量净额(万元),-13787,-7822,-6569,-4818,-3994,-7588,-8022,-4677,-25788,-19800,-11009,-19407,
吸收投资收到的现金(万元),,,,,,225,,12000,,,2550,10573,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,225,,,,,,,
取得借款收到的现金(万元),76800,61000,121034,95288,77284,82375,77325,98928,102951,107067,71413,20360,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),3589,2700,17801,5356,7114,5651,1000,,1856,933,2218,,
筹资活动现金流入小计(万元),80389,63700,138835,100644,84398,88251,78325,110928,104807,108000,76182,30933,
偿还债务支付的现金(万元),80750,65000,128159,94725,71425,85312,83255,103287,84492,87837,43432,7871,
分配股利、利润或偿付利息所支付的现金(万元),2971,1677,4370,3214,2086,4167,3687,5644,5630,3772,3473,1399,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),6486,6303,1074,1228,6404,5541,687,4981,766,3252,3287,497,
筹资活动现金流出小计(万元),90206,72980,133604,99167,79915,95021,87629,113912,90888,94862,50192,9768,
筹资活动产生的现金流量净额(万元),-9818,-9280,5231,1477,4482,-6770,-9304,-2983,13919,13138,25989,21165,
汇率变动对现金及现金等价物的影响(万元),92,29,-87,-30,-8,-95,68,-2,10,-147,-76,-294,
现金及现金等价物净增加额(万元),-21193,-12161,13328,-2473,-4501,5219,-1879,421,-5953,6562,7322,4948,
加:期初现金及现金等价物余额(万元),25583,25583,12255,12255,12255,7036,8915,8493,21766,15204,7882,2934,
期末现金及现金等价物余额(万元),4389,13422,25583,9782,7754,12255,7036,8915,15814,21766,15204,7882,
净利润(万元),7033,2132,7594,3104,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),1160,442,1610,1151,,,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),6770,4590,8729,6380,,,,,,,,,
无形资产摊销(万元),127,84,163,122,,,,,,,,,
长期待摊费用摊销(万元),51,34,103,83,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),-2,-2,16,-4,,,,,,,,,
固定资产报废损失(万元),,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,
财务费用(万元),2898,2058,4021,3032,,,,,,,,,
投资损失(万元),-13,-13,-199,-18,,,,,,,,,
递延所得税资产减少(万元),165,40,-837,-376,,,,,,,,,
递延所得税负债增加(万元),-1,-1,-1,-1,,,,,,,,,
存货的减少(万元),1610,1335,4066,-3600,,,,,,,,,
经营性应收项目的减少(万元),-16529,-4466,-7853,-5350,,,,,,,,,
经营性应付项目的增加(万元),-454,-988,1029,-1003,,,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,
其他(万元),-1011,-857,-3687,-2621,,,,,,,,,
经营活动产生现金流量净额(万元),2320,4912,14752,899,,,,,,,,,
债务转为资本(万元),,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,
现金的期末余额(万元),4389,13422,25583,9782,7754,12255,7036,8915,15814,21766,15204,7882,
现金的期初余额(万元),25583,25583,12255,12255,12255,7036,8915,8493,21766,15204,7882,2934,
现金等价物的期末余额(万元),,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-21193,-12161,13328,-2473,-4501,5219,-1879,421,-5953,6562,7322,4948,

