报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),,285990,459810,,236009,448842,406250,434527,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),,824,1576,,484,2134,925,339,
收到的其他与经营活动有关的现金(万元),,2090,6967,,3822,11252,11274,8881,
经营活动现金流入小计(万元),,288904,468353,,240314,462227,418449,443748,
购买商品、接受劳务支付的现金(万元),,214874,321096,,160904,283072,278255,305367,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),,32570,39138,,19392,48969,43859,39668,
支付的各项税费(万元),,11809,21670,,13435,27202,29041,32661,
支付的其他与经营活动有关的现金(万元),,7587,18734,,8840,14725,11645,12345,
经营活动现金流出小计(万元),,266840,400639,,202571,373968,362800,390041,
经营活动产生的现金流量净额(万元),51678,22063,67714,50842,37743,88259,55649,53707,
收回投资所收到的现金(万元),,,,,,,,,
取得投资收益所收到的现金(万元),,1052,3119,,1488,2690,2677,2025,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,-38,153,,14,1023,16,46,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,2000,,,325945,487560,482764,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),,1014,5272,,1503,329658,490253,484835,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),,8677,36975,,20555,39341,30930,38622,
投资所支付的现金(万元),,490,4500,,,400,,,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,862,,,,,15863,,
支付的其他与投资活动有关的现金(万元),,,,,,303837,463618,437637,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),,10029,41475,,20555,343579,510412,476259,
投资活动产生的现金流量净额(万元),-19994,-9015,-36202,-24870,-19052,-13920,-20159,8576,
吸收投资收到的现金(万元),,,,,,,90,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,90,,
取得借款收到的现金(万元),,1000,3000,,1000,80,22800,,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流入小计(万元),,1000,3000,,1000,80,22890,0,
偿还债务支付的现金(万元),,1133,244,,159,516,239,28182,
分配股利、利润或偿付利息所支付的现金(万元),,12741,27527,,13672,62537,44663,42566,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流出小计(万元),,13874,27771,,13831,63053,44902,70748,
筹资活动产生的现金流量净额(万元),-13290,-12874,-24771,-23289,-12831,-62973,-22012,-70748,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,
现金及现金等价物净增加额(万元),,174,6741,,5860,11366,13477,-8464,
加:期初现金及现金等价物余额(万元),,84725,77984,,77984,66618,53141,61605,
期末现金及现金等价物余额(万元),,84899,84725,,83845,77984,66618,53141,
净利润(万元),,31013,47353,,,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,66,618,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,7751,17515,,,,,,
无形资产摊销(万元),,688,1160,,,,,,
长期待摊费用摊销(万元),,310,954,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,83,30,,,,,,
固定资产报废损失(万元),,,,,,,,,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,86,82,,,,,,
投资损失(万元),,-1707,-4584,,,,,,
递延所得税资产减少(万元),,39,115,,,,,,
递延所得税负债增加(万元),,,150,,,,,,
存货的减少(万元),,-4321,-4338,,,,,,
经营性应收项目的减少(万元),,1779,8210,,,,,,
经营性应付项目的增加(万元),,-14116,123,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),,22063,67714,,,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),,84899,84725,,83845,77984,66618,53141,
现金的期初余额(万元),,84725,77984,,77984,66618,53141,61605,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),,174,6741,,5860,11366,13477,-8464,

