报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),568071,343973,126600,787203,546898,333519,120953,649794,432856,256224,95127,483908,326904,196166,70355,379476,242014,152451,89988,
客户存款和同业存放款项净增加额(万元),,,,0,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,0,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,0,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,0,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,0,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,0,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,0,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,0,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,0,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,0,,,,,,,,,,,,,,,,
收到的税费返还(万元),310,215,113,736,575,328,201,942,627,178,17,950,540,386,15,791,623,563,409,
收到的其他与经营活动有关的现金(万元),5863,2144,991,10327,7469,6502,2107,7014,5254,3148,2530,4736,6013,1945,1445,1817,2098,1353,618,
经营活动现金流入小计(万元),574244,346332,127704,798266,554941,340349,123261,657750,438737,259550,97674,489595,333457,198496,71814,382085,244734,154367,91015,
购买商品、接受劳务支付的现金(万元),290789,181368,93606,389275,275237,158741,83049,287355,188700,108684,51100,201300,140916,81119,38245,165558,102171,70867,43553,
客户贷款及垫款净增加额(万元),,,,0,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,0,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,0,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,0,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,0,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),127056,84758,44203,171967,125906,80720,42041,141237,102210,65001,32263,109946,80471,51236,26344,87081,46277,28770,17740,
支付的各项税费(万元),44217,30446,17467,51178,41588,24978,12880,48907,34666,21514,9956,39910,28443,17136,8719,29032,18107,11959,7715,
支付的其他与经营活动有关的现金(万元),107616,68062,32513,120815,96073,64101,28412,92358,66636,41632,19097,66652,52533,30298,14687,54894,36535,20567,11509,
经营活动现金流出小计(万元),569678,364634,187788,733235,538805,328540,166383,569857,392212,236831,112416,417808,302363,179790,87995,336566,203089,132163,80517,
经营活动产生的现金流量净额(万元),4566,-18303,-60084,65031,16136,11809,-43122,87893,46525,22719,-14742,71787,31094,18707,-16181,45519,41645,22204,10498,
