报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),58272,35611,89779,59113,74596,66940,65030,63340,65583,45773,35546,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),0,,,0,,,53,21,2,,134,
收到的其他与经营活动有关的现金(万元),3974,3254,2872,3023,735,1552,1414,982,1426,115,55,
经营活动现金流入小计(万元),62246,38865,92652,62137,75331,68491,66497,64344,67011,45889,35736,
购买商品、接受劳务支付的现金(万元),8638,5501,12148,9580,7911,7895,8003,7879,7272,5377,5166,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),46736,37400,47385,37371,41152,37040,39579,41525,34618,27201,20084,
支付的各项税费(万元),5422,2788,7798,5487,5372,7505,6188,6371,6408,3820,3150,
支付的其他与经营活动有关的现金(万元),5320,2851,4529,7054,3976,3817,2692,2522,2103,1616,1059,
经营活动现金流出小计(万元),66117,48539,71860,59492,58411,56257,56462,58297,50400,38015,29459,
经营活动产生的现金流量净额(万元),-3871,-9674,20792,2645,16920,12234,10036,6047,16611,7874,6277,
收回投资所收到的现金(万元),,25000,15000,,5500,,,,,,,
取得投资收益所收到的现金(万元),530,419,174,4,27,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,2,72,68,11,725,23,6,2,1,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),31000,,,2000,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),31531,25421,15246,2071,5538,725,23,6,2,1,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),411,417,679,317,798,539,2562,3903,15834,2470,9949,
投资所支付的现金(万元),,21000,36000,,5500,,360,,240,,,
质押贷款净增加额(万元),,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),39000,,,19000,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),39411,21417,36679,19317,6298,539,2922,3903,16074,2470,9949,
投资活动产生的现金流量净额(万元),-7880,4004,-21433,-17246,-760,186,-2899,-3897,-16072,-2469,-9949,
吸收投资收到的现金(万元),,,,,,,,,,,11575,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,
取得借款收到的现金(万元),,,3000,3000,11000,10000,11000,9000,9126,1100,7685,
发行债券收到的现金(万元),,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,
