报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),28640,16911,7513,41502,29439,17385,8604,41927,28272,17127,7622,39207,27583,16020,7174,31914,28175,22047,15251,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),494,265,75,605,509,390,240,850,681,486,172,1381,1008,756,352,1086,1657,1010,555,
收到的其他与经营活动有关的现金(万元),1471,358,70,1409,297,132,94,1080,485,166,39,744,559,423,231,471,343,588,362,
经营活动现金流入小计(万元),30605,17534,7659,43515,30245,17907,8939,43857,29438,17779,7833,41332,29151,17199,7757,33472,30175,23645,16168,
购买商品、接受劳务支付的现金(万元),14149,9412,4400,19255,15281,9373,5511,18108,13633,8704,3863,18810,15402,10009,4583,14594,14618,11290,7703,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
