报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),60569,34504,11459,95486,66579,39491,14093,91595,59837,35126,81835,28996,67295,51678,47457,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,32,,,,
收到的其他与经营活动有关的现金(万元),2796,1782,827,1387,1855,1081,814,946,733,73,1168,1707,581,1859,1694,
经营活动现金流入小计(万元),63366,36285,12286,96874,68433,40572,14908,92541,60571,35199,83003,30736,67876,53537,49151,
购买商品、接受劳务支付的现金(万元),36908,22897,11189,59132,40569,26250,13088,48070,34689,21826,41602,16202,33844,30487,25801,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),14626,9846,5227,18883,13295,8989,4777,17033,11985,8575,15444,7015,11945,10040,8225,
支付的各项税费(万元),4200,2151,1117,6737,4451,2679,1616,7583,4963,2907,5431,2110,4912,3779,3976,
