报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),53438,34757,18942,82829,51999,32983,15474,81207,59576,35567,17971,82250,50268,31366,8144,60997,,55919,40842,74928,18952,9108,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),44,44,28,105,50,50,50,50,50,50,,33,33,,,63,,141,58,34,,5,
收到的其他与经营活动有关的现金(万元),5697,3451,775,13678,4440,2434,842,14144,9200,7161,2595,13055,10210,5751,1850,8353,,6115,3595,6818,3785,1692,
经营活动现金流入小计(万元),59179,38252,19745,96611,56489,35466,16365,95401,68827,42778,20565,95338,60511,37116,9993,69412,,62175,44495,81780,22736,10805,
购买商品、接受劳务支付的现金(万元),44546,30345,18451,68237,44888,29321,16428,62843,45670,23545,13417,46151,34142,19112,6780,34701,,31200,23840,53044,15113,7791,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8350,5539,2816,11254,8065,5427,2722,11644,8392,5683,2846,10534,7609,5225,2895,10010,,8620,6374,5038,2371,1643,
支付的各项税费(万元),379,228,97,4461,4241,3860,1427,4675,4096,2985,1948,11689,3564,2072,1326,4485,,6797,4684,5212,380,1120,
支付的其他与经营活动有关的现金(万元),11418,8212,3894,16340,11520,7827,3797,17495,15905,13309,7772,20811,16804,12710,6164,11658,,11309,7918,12761,5245,2913,
经营活动现金流出小计(万元),64693,44324,25258,100291,68715,46434,24374,96658,74062,45521,25983,89184,62118,39119,17166,60854,,57926,42816,76056,23109,13467,
经营活动产生的现金流量净额(万元),-5514,-6073,-5513,-3680,-12226,-10968,-8009,-1257,-5235,-2743,-5417,6154,-1607,-2003,-7172,8558,-1474,4249,1679,5724,-373,-2662,
收回投资所收到的现金(万元),5000,5000,,8900,8900,,0,9000,3000,,,,,,,,,,,,515,,
取得投资收益所收到的现金(万元),209,209,128,40,,,,68,,,,,,,,,,3,3,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,0,,0,,,2,2,2,2,,,5,,7,2,14,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,3009,,26,8926,3017,,25,,,,,,,,,,,148,,30,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),5209,5209,3138,8940,8926,8926,3017,9068,3025,0,0,2,2,2,2,0,,8,3,155,516,44,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3504,2893,1478,5126,3705,3026,2988,1033,535,508,417,1794,1340,986,592,1558,,3285,3325,3249,2858,2909,
投资所支付的现金(万元),6000,5000,,8900,,,,9000,,,,,,,,1520,,,,,515,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,5000,,8900,8900,6000,,6000,3000,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),9504,7893,6478,14026,12605,11926,8988,10033,6535,3508,417,1794,1340,986,592,3078,,3285,3325,3249,3373,2909,
投资活动产生的现金流量净额(万元),-4294,-2684,-3340,-5086,-3679,-3000,-5971,-964,-3509,-3508,-417,-1791,-1337,-984,-590,-3078,-2549,-3277,-3322,-3094,-2856,-2865,
吸收投资收到的现金(万元),199,199,,,0,,0,15930,14589,14589,14589,,,,,,,3388,3388,425,,,
其中：子公司吸收少数股东投资收到的现金(万元),199,199,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),16920,16920,12920,36609,17150,13150,7150,15350,13350,13350,13350,19250,19250,18850,17850,21380,,21011,19420,21160,25431,9100,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,0,492,0,,,,,,,,,1166,1166,18979,20135,10441,
筹资活动现金流入小计(万元),17119,17119,12920,36609,17150,13150,7150,31772,27939,27939,27939,19250,19250,18850,17850,21380,,25564,23974,40564,45566,19541,
偿还债务支付的现金(万元),16141,16141,11920,23580,4350,4350,4350,22350,20350,20350,20350,20280,19280,18880,17880,18880,,19140,17510,18471,19165,4585,
分配股利、利润或偿付利息所支付的现金(万元),1028,694,337,2994,2694,411,149,2658,2512,342,194,999,769,525,282,1288,,7467,7130,2891,831,461,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,0,1451,0,,,,,,,,,1166,1166,18979,20135,10475,
筹资活动现金流出小计(万元),17169,16835,12257,26574,7044,4761,4499,26459,22862,20692,20544,21279,20049,19405,18162,20168,,27773,25806,40342,40131,15521,
筹资活动产生的现金流量净额(万元),-50,284,663,10035,10106,8389,2651,5313,5077,7247,7395,-2029,-799,-555,-312,1212,1531,-2209,-1833,222,5435,4020,
汇率变动对现金及现金等价物的影响(万元),3,-2,-17,2,-1,,0,2,2,,,,,,,,,0,20,0,-1,5,
现金及现金等价物净增加额(万元),-9855,-8474,-8207,1272,-5801,-5579,-11329,3094,-3666,996,1560,2334,-3742,-3541,-8074,6691,-2492,-1237,-3456,2853,2205,-1501,
加:期初现金及现金等价物余额(万元),17940,17940,17940,16668,16668,16668,16668,13575,13575,13575,13575,11241,11241,11241,11241,4550,,5786,5786,2933,728,2229,
期末现金及现金等价物余额(万元),8085,9466,9733,17940,10868,11089,5340,16668,9909,14571,15135,13575,7498,7699,3167,11241,,4550,2330,5786,2933,728,
净利润(万元),,-1491,,1286,,-354,,3825,,1148,,5376,,2052,,3401,,8019,,14717,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,441,,562,,865,,659,,1021,,1854,,1177,,1642,,1408,,1145,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,803,,1720,,861,,1693,,842,,1580,,796,,1550,,1416,,1009,,,
无形资产摊销(万元),,52,,102,,30,,58,,28,,55,,27,,51,,46,,35,,,
长期待摊费用摊销(万元),,31,,28,,15,,8,,3,,3,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,,,,0,,0,,30,,1,,-6,,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,692,,990,,397,,627,,313,,989,,514,,1288,,1286,,1187,,,
投资损失(万元),,28,,-109,,-85,,-126,,-42,,-498,,-147,,-9,,-3,,,,,
递延所得税资产减少(万元),,-307,,15,,-188,,-56,,-126,,-234,,-119,,-218,,-201,,-170,,,
递延所得税负债增加(万元),,11,,27,,36,,62,,,,81,,58,,77,,,,,,,
存货的减少(万元),,-5565,,-16114,,-8140,,1181,,1023,,-3307,,-2326,,-889,,-795,,-8932,,,
