报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),24027,16571,13005,43108,29264,16623,11748,52386,35943,23134,16995,55814,35422,28876,20245,54553,26189,33766,30836,28504,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),3383,1868,932,5459,3155,2413,2394,2602,2207,2004,590,2914,3749,3246,786,3991,2729,1483,2198,1841,
经营活动现金流入小计(万元),27410,18439,13938,48567,32420,19036,14142,54988,38150,25138,17585,58727,39171,32122,21030,58544,28918,35249,33033,30345,
购买商品、接受劳务支付的现金(万元),30577,18615,11922,34933,29601,19347,12338,40839,35580,21473,12079,38352,29701,24735,16776,38422,20297,27903,25387,23000,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5180,3714,2605,5641,4462,3320,2517,2986,2414,1758,1106,2014,1597,1295,999,2041,1355,2261,1944,2048,
支付的各项税费(万元),2950,1574,696,4300,3444,2263,1170,5483,4883,3623,2496,3173,2357,1701,1330,3062,859,3025,3160,4970,
支付的其他与经营活动有关的现金(万元),4983,2489,2326,4579,9745,4343,2719,4903,3179,2700,921,3089,5944,6665,6064,3388,1875,4455,2572,2392,
经营活动现金流出小计(万元),43690,26391,17549,49452,47252,29274,18744,54211,46056,29554,16602,46628,39599,34395,25170,46914,24386,37643,33063,32411,
经营活动产生的现金流量净额(万元),-16280,-7952,-3611,-885,-14832,-10238,-4602,778,-7907,-4417,983,12100,-428,-2274,-4139,11630,4532,-2395,-30,-2066,
