报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),13581,10742,24095,11737,12746,3164,15384,8777,10116,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),1356,1136,1549,1103,1031,571,732,663,664,
收到的其他与经营活动有关的现金(万元),410,71,664,373,423,113,412,351,621,
经营活动现金流入小计(万元),15347,11948,26308,13213,14199,3848,16527,9791,11402,
购买商品、接受劳务支付的现金(万元),8106,5419,10420,6486,6464,3071,5738,4101,5501,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4448,3287,4583,3623,2816,1326,2616,2195,2025,
支付的各项税费(万元),2863,2089,3768,3254,2408,1130,1917,1338,1408,
支付的其他与经营活动有关的现金(万元),2263,1268,2445,2359,1926,762,1442,1467,1087,
经营活动现金流出小计(万元),17680,12063,21215,15722,13615,6289,11713,9100,10021,
经营活动产生的现金流量净额(万元),-2334,-115,5093,-2509,584,-2441,4815,690,1381,
收回投资所收到的现金(万元),,,,,50,50,,,,
取得投资收益所收到的现金(万元),34,22,105,91,150,79,78,8,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,7,7,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),300,455,60,0,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),334,477,165,91,207,136,78,8,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),725,582,192,175,1277,358,28,54,135,
投资所支付的现金(万元),,,,2800,,,50,,,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),725,582,192,2975,1277,358,78,54,135,
投资活动产生的现金流量净额(万元),-391,-105,-27,-2884,-1070,-222,-0,-46,-135,
吸收投资收到的现金(万元),36568,,,0,,,2800,1000,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,1000,1000,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,9,5,
筹资活动现金流入小计(万元),36568,0,0,0,0,0,2800,2009,1005,
偿还债务支付的现金(万元),,,,,,,1000,1000,329,
分配股利、利润或偿付利息所支付的现金(万元),,,,,,,30,60,51,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),2053,173,,0,,,,,690,
筹资活动现金流出小计(万元),2053,173,0,0,0,0,1030,1060,1070,
筹资活动产生的现金流量净额(万元),34515,-173,0,0,0,0,1770,949,-66,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,
现金及现金等价物净增加额(万元),31790,-392,5066,-5393,-485,-2663,6584,1593,1180,
加:期初现金及现金等价物余额(万元),14380,14380,9314,9601,9800,9800,3216,1623,442,
期末现金及现金等价物余额(万元),46170,13988,14380,4207,9314,7137,9800,3216,1623,
净利润(万元),,4147,8360,,6202,2219,3621,1809,1203,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
