报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),77932,50450,23450,121877,96831,64360,35240,133850,91620,93330,55620,46815,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,3,71,63,,,,
收到的其他与经营活动有关的现金(万元),13206,8838,8328,3528,3491,3184,1539,6589,6294,6390,3805,3795,
经营活动现金流入小计(万元),91138,59288,31779,125404,100322,67544,36782,140509,97977,99719,59425,50611,
购买商品、接受劳务支付的现金(万元),58426,43366,27967,85491,70819,47967,25248,81075,60124,51414,21420,22789,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),11722,8136,3950,16235,12098,8148,4763,18375,13911,16216,17176,13872,
支付的各项税费(万元),3970,2715,1809,9583,7118,5313,3513,7838,6520,10333,5862,5066,
支付的其他与经营活动有关的现金(万元),18051,16015,4897,20991,14970,11175,10161,16183,15098,18693,14133,8645,
经营活动现金流出小计(万元),92169,70232,38623,132299,105005,72603,43685,123471,95653,96657,58591,50372,
经营活动产生的现金流量净额(万元),-1031,-10944,-6844,-6895,-4683,-5059,-6903,17038,2324,3063,834,238,
收回投资所收到的现金(万元),,,,,,,,,,,,,
取得投资收益所收到的现金(万元),41,41,,,,,,,,0,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),15,15,,91,108,,,12,12,185,9,12,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
