报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),49111,29543,14405,62292,43340,26434,12057,44855,31883,19894,9840,35865,25492,16019,8238,26866,24840,11428,19509,19711,17441,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),554,406,31,727,668,76,,,91,91,81,6,6,,,109,61,,104,405,,
收到的其他与经营活动有关的现金(万元),2124,1662,406,3097,1386,597,111,800,1498,829,66,1062,1537,299,98,195,342,151,429,551,1065,
经营活动现金流入小计(万元),51788,31611,14842,66116,45394,27107,12169,45654,33472,20813,9987,36933,27035,16317,8335,27170,25243,11579,20043,20667,18506,
购买商品、接受劳务支付的现金(万元),23459,13588,6728,21669,15981,10104,4714,15756,11342,7007,3428,10403,7454,4459,2501,7548,7821,3844,7370,6463,7870,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
