报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),418552,269880,154348,605848,446329,293898,149817,329902,178142,135221,150192,93630,70348,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,91592,78858,14590,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),130,130,,882,823,10,,2776,,,,,,
收到的其他与经营活动有关的现金(万元),7885,6885,7300,8335,6227,4032,11614,7540,434710,432676,114961,7085,5732,
经营活动现金流入小计(万元),426567,276895,161649,615065,453379,297940,161432,340217,704444,646755,279743,100715,76080,
购买商品、接受劳务支付的现金(万元),274132,180105,100056,416089,319377,217391,111957,166102,72632,55832,65021,42704,24969,
客户贷款及垫款净增加额(万元),,,,,,,,,414815,390893,156085,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),55416,40621,19144,67924,50732,35163,19103,57417,44076,31975,28476,31824,28656,
支付的各项税费(万元),14903,10728,3373,19697,13034,5169,4232,18956,21260,19018,8080,3318,1765,
支付的其他与经营活动有关的现金(万元),22557,20943,38615,49180,31872,23538,25754,42302,129244,119631,36705,19891,23934,
经营活动现金流出小计(万元),367008,252397,161187,552890,415016,281261,161046,284777,682027,617349,294367,97737,79324,
经营活动产生的现金流量净额(万元),59559,24498,461,62175,38363,16679,386,55440,22416,29406,-14624,2977,-3244,
收回投资所收到的现金(万元),50,50,50,758,758,758,,30229,62570,59145,20500,44,,
取得投资收益所收到的现金(万元),238,238,238,73,73,73,,734,209,186,92,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,112,112,112,112,,20,61,,,3,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,36497,41554,,0,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),288,288,288,943,943,943,112,67461,104352,59392,20592,44,3,
