报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2014-03-31,
销售商品、提供劳务收到的现金(万元),127937,75849,161249,117662,71559,137603,122279,111771,16083,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),10306,7051,12917,10477,7661,17070,14423,13759,1721,
收到的其他与经营活动有关的现金(万元),2689,2365,2736,1617,771,9643,12723,4433,,
经营活动现金流入小计(万元),140933,85265,176902,129755,79991,164316,149425,129962,17804,
购买商品、接受劳务支付的现金(万元),77775,42808,96397,75282,48182,94803,86365,65561,14454,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20594,13405,24991,18822,12614,23363,17507,15120,2281,
支付的各项税费(万元),8863,5437,8622,5511,3238,10616,12481,12302,753,
支付的其他与经营活动有关的现金(万元),4625,3142,12808,9369,6313,12084,9483,9327,-368,
经营活动现金流出小计(万元),111857,64792,142818,108984,70347,140866,125836,102311,17120,
经营活动产生的现金流量净额(万元),29076,20473,34084,20771,9644,23450,23590,27652,683,
收回投资所收到的现金(万元),,,,,,,1858,,,
取得投资收益所收到的现金(万元),45,31,,,,,301,75,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,0,20,20,10,36,1,5,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),42700,,1640,1480,1038,100,41329,41825,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),42746,32,1660,1500,1048,136,43488,41905,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3493,1671,26081,23089,18231,19155,13933,5783,1785,
投资所支付的现金(万元),,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),52700,10000,1444,1371,884,1438,35030,58195,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),56193,11671,27525,24460,19115,20593,48963,63978,1785,
投资活动产生的现金流量净额(万元),-13448,-11639,-25865,-22959,-18067,-20458,-5475,-22074,-1785,
吸收投资收到的现金(万元),58799,,,,,,155,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),15000,12000,41559,41536,19416,27500,21000,20660,660,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,58,,,
筹资活动现金流入小计(万元),73799,12000,41559,41536,19416,27500,21213,20660,660,
偿还债务支付的现金(万元),17046,6047,47512,24000,7000,20000,20500,20660,,
分配股利、利润或偿付利息所支付的现金(万元),6080,6025,6404,6199,5888,9032,18517,1738,238,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),264,189,363,228,227,123,1858,,3000,
筹资活动现金流出小计(万元),23390,12261,54280,30428,13115,29154,40875,22398,3238,
筹资活动产生的现金流量净额(万元),50409,-261,-12721,11109,6301,-1654,-19662,-1738,-2578,
汇率变动对现金及现金等价物的影响(万元),-2027,955,1914,2601,257,1127,-1285,1084,,
现金及现金等价物净增加额(万元),64010,9528,-2589,11521,-1865,2465,-2832,4924,-3679,
加:期初现金及现金等价物余额(万元),3938,3938,6526,6526,6526,4062,6894,1970,6172,
期末现金及现金等价物余额(万元),67948,13465,3938,18047,4662,6526,4062,6894,2492,
净利润(万元),,,28460,,11186,24475,23999,22825,1366,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,,499,,542,902,-80,406,,
