报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),129995,88193,50657,173010,111936,69956,45063,157149,109939,79873,43209,149669,108134,119336,101712,93078,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),7014,4638,3100,9347,6814,4511,2572,6159,4359,2358,1262,2878,1296,2408,2301,1206,
收到的其他与经营活动有关的现金(万元),1639,1482,1207,2588,1562,971,799,713,640,387,837,773,392,414,331,414,
经营活动现金流入小计(万元),138648,94314,54964,184945,120311,75437,48433,164022,114938,82618,45309,153319,109822,122159,104344,94698,
购买商品、接受劳务支付的现金(万元),83825,58448,38121,132994,77704,55874,42005,109231,78226,55237,29149,104203,76797,81242,71038,70199,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),27235,17077,8417,33136,23668,15237,6505,26718,19655,12636,6311,25771,19162,22487,20215,16001,
