报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),220652,152445,83201,284741,215916,146623,83774,262500,244766,237286,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1739,1116,1406,6088,5921,5572,5364,3578,1937,1619,
经营活动现金流入小计(万元),222391,153560,84608,290828,221838,152195,89138,266078,246703,238905,
购买商品、接受劳务支付的现金(万元),161747,111976,58198,213730,157755,108781,60544,194847,181478,184823,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20074,13156,6964,25145,19078,13222,7369,22900,21292,19173,
支付的各项税费(万元),7652,5669,2403,11388,8649,6073,2657,10981,8591,8692,
支付的其他与经营活动有关的现金(万元),13394,8514,4670,18300,13363,9192,3832,19776,16013,14532,
经营活动现金流出小计(万元),202866,139315,72235,268564,198846,137268,74402,248504,227374,227220,
经营活动产生的现金流量净额(万元),19525,14245,12373,22264,22992,14927,14737,17574,19329,11685,
收回投资所收到的现金(万元),,,,,,,,,,,
取得投资收益所收到的现金(万元),888,650,239,853,550,445,176,437,268,239,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,0,,67,4,4,5,7,16,7,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),301327,218308,118781,216487,164280,116250,55129,181021,118966,149022,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),302216,218958,119020,217407,164835,116700,55310,181466,119251,149268,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4168,2880,989,8686,7932,6940,6467,6841,13137,2234,
投资所支付的现金(万元),,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),347332,250966,143401,222032,185348,122186,69423,180287,119340,146962,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),351500,253846,144390,230718,193280,129126,75890,187128,132477,149196,
投资活动产生的现金流量净额(万元),-49284,-34887,-25370,-13312,-28445,-12426,-20580,-5663,-13226,72,
吸收投资收到的现金(万元),18852,,,,,,,5847,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),22000,22000,22000,8420,8420,7420,4500,2000,22600,10520,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,1411,,,
筹资活动现金流入小计(万元),40852,22000,22000,8420,8420,7420,4500,9258,22600,10520,
偿还债务支付的现金(万元),11500,5500,4000,8020,8020,7020,4100,13800,16000,14020,
分配股利、利润或偿付利息所支付的现金(万元),292,245,192,368,277,191,48,895,9154,3588,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,1411,6971,,
筹资活动现金流出小计(万元),11792,5745,4192,8388,8297,7211,4148,16105,32125,17608,
