报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),16790,11706,2180,32825,13554,10250,4004,24006,17862,13030,8163,29133,19976,26354,20277,17784,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,67,52,5,3,44,
收到的其他与经营活动有关的现金(万元),950,909,737,2694,384,2629,192,1050,945,844,816,2432,2401,2421,1280,3105,
经营活动现金流入小计(万元),17741,12615,2917,35520,13938,12879,4195,25056,18806,13874,8980,31632,22428,28779,21561,20933,
购买商品、接受劳务支付的现金(万元),8567,4336,2539,14171,8720,9003,2947,9114,6928,3920,2376,11140,9555,15605,7145,9072,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),2774,2055,1226,3761,2736,1893,1040,3099,2301,1498,643,2625,2011,2356,1510,1446,
支付的各项税费(万元),4072,3299,1808,3172,2958,1987,1199,4368,3554,1891,1005,6218,5175,4444,2303,1757,
支付的其他与经营活动有关的现金(万元),1632,2479,508,2558,1591,1527,690,5216,2230,1800,1181,3993,2688,5298,5674,2610,
经营活动现金流出小计(万元),17045,12169,6081,23662,16005,14410,5877,21798,15013,9110,5204,23976,19430,27704,16632,14884,
经营活动产生的现金流量净额(万元),695,446,-3164,11857,-2067,-1531,-1682,3258,3793,4764,3776,7656,2998,1075,4929,6049,
收回投资所收到的现金(万元),35000,14000,5000,64000,44000,20000,,1990,1990,1000,,1000,,1346,,,
取得投资收益所收到的现金(万元),677,175,54,1157,1023,569,,210,210,201,,,,60,80,60,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,2,,,,,,,,2,,2978,28,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,3712,5430,7618,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),35677,14175,5054,65159,45023,20569,0,2200,2200,1201,0,1002,0,8096,5538,7678,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3855,2553,1596,6240,3648,1680,1077,1663,1241,903,581,3576,3455,1761,3207,3788,
投资所支付的现金(万元),31005,18005,13000,57000,37000,17000,,28990,25990,1990,1000,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,4292,5016,7900,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),34860,20558,14596,63240,40648,18680,1077,30653,27231,2893,1581,3576,3455,6053,8223,11688,
投资活动产生的现金流量净额(万元),817,-6383,-9542,1918,4375,1889,-1077,-28453,-25031,-1692,-1581,-2574,-3455,2043,-2685,-4009,
吸收投资收到的现金(万元),,,,,,,,38655,38655,,,,,8418,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,2000,2000,2000,,3300,3300,3300,2300,8550,8550,7500,5892,6900,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,
