报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-09-30,2013-06-30,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
销售商品、提供劳务收到的现金(万元),195341,116728,247626,184939,174279,85076,142322,123027,130892,23748,22904,60948,10049,4343,11161,28605,8664,5749,4255,17204,6474,5231,5857,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),7286,5378,9087,6434,5166,1939,1045,1164,478,166,215,55,,,180,459,93,79,63,220,272,160,,
收到的其他与经营活动有关的现金(万元),1194,1025,3361,1222,2790,910,7942,11616,14161,22177,22146,3395,23113,8112,9038,6344,3897,17937,2861,25430,16586,19842,7,
经营活动现金流入小计(万元),203821,123130,260075,192595,182234,87925,151309,135807,145530,46091,45266,64398,33162,12455,20379,35408,12653,23765,7178,42854,23332,25232,5864,
购买商品、接受劳务支付的现金(万元),109384,75770,170189,129390,115430,55223,76723,69342,71382,14704,13890,39290,10485,2306,7026,23733,5900,4904,3569,11272,5129,1969,4362,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),26127,18325,30498,23016,24657,12933,20908,17906,13585,2235,2293,4571,1039,217,873,2108,673,493,713,1751,1432,920,313,
支付的各项税费(万元),15162,10458,13521,12025,10555,5406,10577,10378,9590,2505,2074,4340,1113,147,1292,1332,521,470,317,907,341,689,273,
支付的其他与经营活动有关的现金(万元),12209,4299,8686,7034,10121,7056,11032,28627,15759,32627,21936,13464,22878,8112,14366,2289,4237,19632,6004,24608,12535,27650,-840,
经营活动现金流出小计(万元),162882,108853,222893,171464,160763,80618,119239,126253,110315,52071,40193,61665,35514,10782,23558,29461,11331,25498,10603,38538,19436,31228,4108,
经营活动产生的现金流量净额(万元),40938,14278,37182,21130,21472,7306,32070,9554,35215,-5980,5072,2733,-2352,1674,-3179,5947,1323,-1733,-3425,4316,3896,-5996,1756,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,3000,,,,,7,4542,,
取得投资收益所收到的现金(万元),,,1350,,288,,224,297,,,,,,,,1,1,1,,61,11,14,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),48,46,28,10,36,21,29,52,4,5,44,6,,,2,250,,,,,1,8,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),48,46,1378,10,323,21,253,349,4,5,44,6,,,2,3251,1,1,,61,18,4565,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7879,4731,17612,11389,8166,4226,4977,8636,14123,1200,578,11949,2599,141,2081,7072,1499,1522,1134,7564,5486,3601,105,
投资所支付的现金(万元),,,,,,,,,,50,,3741,4807,,,3000,,4500,,4500,60,2656,2029,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,29,29,,,6342,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,117,,,,,,,,,,,38,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),7879,4731,17641,11418,8166,4226,11319,8636,14240,1250,578,15689,7405,141,2081,10072,1499,6022,1134,12102,5546,6257,2134,
投资活动产生的现金流量净额(万元),-7831,-4684,-16264,-11408,-7843,-4205,-11065,-8287,-14236,-1244,-534,-15684,-7405,-141,-2079,-6821,-1498,-6022,-1134,-12041,-5527,-1692,-2134,
吸收投资收到的现金(万元),,,600,,21840,21840,16727,732,330,,,500,4000,,,500,,5000,,5000,500,5090,3500,
其中：子公司吸收少数股东投资收到的现金(万元),,,600,,,,,,,,,500,1000,,,500,,,,,,,,
取得借款收到的现金(万元),41000,37000,41000,32000,35000,25000,23000,20800,36089,10300,17425,22005,3101,1900,,8904,1500,500,4000,4000,10000,2000,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),41000,37000,41600,32000,56840,46840,39727,21532,36419,10300,17425,22005,7101,1900,0,9404,1500,5500,4000,9000,10500,7090,3500,
偿还债务支付的现金(万元),40000,22000,43000,27000,25410,11000,26625,25912,42134,4000,24000,13000,1500,2400,300,3000,1500,500,,1000,4000,,1950,
分配股利、利润或偿付利息所支付的现金(万元),23931,23536,11746,11283,34357,33594,41671,2002,2286,168,296,908,,,240,220,,,,109,154,,95,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,582,,,,,75,25,,,,,,,,96,,,,,
筹资活动现金流出小计(万元),63931,45536,54746,38283,60349,44594,68296,27914,44420,4243,24321,13908,1500,2400,540,3220,1500,500,96,1109,4154,0,2045,
筹资活动产生的现金流量净额(万元),-22931,-8536,-13146,-6283,-3509,2246,-28568,-6382,-8001,6057,-6896,8097,5601,-500,-540,6184,0,5000,3904,7891,6346,7090,1455,
汇率变动对现金及现金等价物的影响(万元),188,-25,283,452,13,52,403,-117,-1319,1,24,-157,-1,-6,-29,-259,62,-22,-52,-8,-55,,,
现金及现金等价物净增加额(万元),10364,1033,8055,3892,10133,5399,-7161,-5232,11659,-1167,-2358,-5012,-4157,1033,-5798,5050,-175,-2755,-655,158,4660,-598,1077,
加:期初现金及现金等价物余额(万元),27986,27986,19932,19932,9799,9799,16961,22193,10533,7386,9767,10785,6494,4345,10785,5735,2398,5131,5735,5577,917,1515,438,
期末现金及现金等价物余额(万元),38351,29019,27986,23824,19932,15198,9799,16961,22193,6218,7386,5773,2338,5383,5016,10785,2160,2398,5079,5735,5577,917,1515,
净利润(万元),,23961,52757,,35227,,,,,,,9678,,,,5865,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,1797,1765,,1011,,,,,,,437,,,,337,,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,4379,6912,,5582,,,,,,,1305,,,,294,,,,,,,,
无形资产摊销(万元),,223,400,,376,,,,,,,173,,,,160,,,,,,,,
长期待摊费用摊销(万元),,552,249,,102,,,,,,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,1,-81,,25,,,,,,,5,,,,0,,,,,,,,
固定资产报废损失(万元),,-0,29,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,659,988,,1292,,,,,,,1126,,,,420,,,,,,,,
投资损失(万元),,-1701,-3996,,-3523,,,,,,,1581,,,,-1,,,,,,,,
递延所得税资产减少(万元),,-492,-1151,,-896,,,,,,,-87,,,,-328,,,,,,,,
递延所得税负债增加(万元),,35,19,,-39,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,6948,-22170,,-10341,,,,,,,-11791,,,,-3075,,,,,,,,
经营性应收项目的减少(万元),,-37268,2937,,-23232,,,,,,,-5561,,,,-7517,,,,,,,,
经营性应付项目的增加(万元),,12180,-7489,,9875,,,,,,,5867,,,,9791,,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,3006,,,,,,,,,,,,,,,,,,,,,,
