报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),2825348,2216244,4035621,895182,551251,104268,-2250593,6037937,2989551,2757298,1828620,6213401,4105456,2380401,5352853,939716,2441778,3498180,
向中央银行借款净增加额(万元,-613000,-363000,-249936,190000,55000,-150000,-50000,555000,155000,-40000,-195000,183000,-27000,,73000,37100,9400,2800,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),1262073,827624,372064,1413467,962215,651765,308064,1125936,822867,668694,262111,899161,673017,358143,736177,619525,530183,508355,
拆入资金净增加额(万元),644084,557179,-62371,-888380,-687346,-1204930,456264,1068026,1801055,1470690,80390,-410386,-204754,760222,-299343,545557,-34955,149538,
回购业务资金净增加额(万元),1255365,1026647,-741199,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),14444,3699,-54081,181590,10088,77242,1018,12500,3031,14243,1402,72431,785,-1163,176193,60736,227546,1110441,
经营活动现金流入小计(万元),5388314,4268393,3300098,1791859,891209,-521655,-1535247,8799399,5771504,4870924,1977522,6957608,4547503,3497604,6038880,2202634,3173952,5269313,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额(万元),4823526,3106578,1405712,5075247,4189468,2392029,1017036,3662293,3004291,2196730,979054,2559031,2557977,2196580,2077104,1525508,964016,770414,
存放中央银行和同业款项净增加额(万元),-791714,-470038,-365744,-745047,-483225,-537352,-565488,920005,586355,866457,516038,933693,444964,296365,-267993,854047,283465,243425,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),578260,366487,208363,653022,454110,288335,191675,655848,492525,262315,98337,468473,368150,221376,451887,437204,332611,249452,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),217092,161392,91684,258266,169701,143674,79417,213011,162988,121057,64320,156660,120749,85875,120976,107420,85858,73392,
支付的各项税费(万元),204974,152244,68106,219575,157016,102325,31218,268176,187693,160670,57114,198424,135716,65608,203961,123955,86064,56725,
支付的其他与经营活动有关的现金(万元),329479,98088,58815,157018,151627,66795,194471,256228,196638,113791,85916,127193,112089,43333,108314,315999,93311,59139,
经营活动现金流出小计(万元),6811270,4146699,2075268,5618080,4638697,2455807,948328,5975560,4630490,3721020,1800778,4443473,3739644,2909136,2694249,3364134,1845324,1452547,
经营活动产生的现金流量净额(万元),-1422956,121694,1224830,-3826221,-3747488,-2977462,-2483576,2823839,1141014,1149904,176744,2514135,807858,588467,3344631,-1161501,1328628,3816766,
收回投资所收到的现金(万元),7054889,13751218,7054889,177758587,117471311,76078948,27722379,146313745,92095995,33193551,30849915,198671229,161469432,100724631,110255015,48661523,8495986,3797268,
取得投资收益所收到的现金(万元),773500,494739,226990,1059490,791501,524823,240752,835899,632766,473436,192373,786680,537896,340364,561463,510964,296036,146426,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),213,179,-112,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,1189,10352,403,232,20668,20176,-14,20107,150,180,-5,2126,135,201246,3,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),7828602,14246136,7281767,178819267,118273164,76604174,27963363,147170311,92748937,33666973,31062394,199458059,162007508,101064989,110818604,49172622,8993269,3943696,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),18786,8981,2147,50325,34521,14083,6708,70629,31769,18149,10579,108759,89731,74497,45846,49856860,19174,13857,
