报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),75097,44718,95072,66323,43723,86971,37587,65913,65886,29437,65837,51130,47833,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),4599,3003,5929,4231,3060,4512,2074,4178,5683,2792,4019,3196,2895,
收到的其他与经营活动有关的现金(万元),5293,6085,410,-489,246,828,318,444,2129,1254,902,1824,873,
经营活动现金流入小计(万元),84990,53806,101411,70064,47029,92311,39979,70536,73698,33483,70758,56150,51601,
购买商品、接受劳务支付的现金(万元),54334,34663,51011,35798,22707,51667,22858,46390,40247,15904,44538,41143,34231,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5682,4123,5904,4697,3158,4835,2634,4591,4787,2758,4021,3329,2796,
支付的各项税费(万元),6025,4715,8812,7023,4037,4981,2238,4427,4983,2664,3007,2948,2300,
支付的其他与经营活动有关的现金(万元),8444,5442,13718,9050,8144,12125,5816,11091,9464,4510,10750,6150,8144,
经营活动现金流出小计(万元),74484,48943,79444,56568,38045,73609,33547,66499,59482,25836,62316,53570,47471,
经营活动产生的现金流量净额(万元),10506,4863,21967,13497,8984,18702,6433,4036,14217,7647,8442,2580,4130,
收回投资所收到的现金(万元),,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),165,162,246,74,74,5,5,35,25,9,61,84,8,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),32,28,82,-23,6,15,10,107,6,3,,37,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),46378,44400,68850,34150,22450,12084,12084,8019,5600,1100,290,,1872,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),46575,44590,69177,34201,22530,12103,12098,8161,5631,1112,351,121,1880,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),11358,6133,11136,8397,5406,9701,4775,8465,12019,5981,12480,5096,2738,
投资所支付的现金(万元),,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,25,,,,,
支付的其他与投资活动有关的现金(万元),56530,44400,68850,45650,22450,12084,12084,8019,4500,,100,1290,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,
投资活动现金流出小计(万元),67888,50533,79986,54047,27856,21785,16859,16484,16544,5981,12580,6386,2738,
投资活动产生的现金流量净额(万元),-21313,-5943,-10809,-19846,-5326,-9682,-4761,-8323,-10912,-4869,-12229,-6265,-857,
吸收投资收到的现金(万元),,,,,,,,,4755,4752,,4450,6550,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,3229,3229,2336,1000,2000,2000,,,
发行债券收到的现金(万元),,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,10,10,,,,,,,
筹资活动现金流入小计(万元),0,0,0,0,0,3239,3239,2336,5755,6752,2000,4450,6550,
偿还债务支付的现金(万元),,,,,,3258,30,2306,3000,3000,,,2700,
分配股利、利润或偿付利息所支付的现金(万元),,,1260,1260,1260,122,117,8,4042,3391,130,2500,119,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,10,,,,,1920,
筹资活动现金流出小计(万元),0,0,1260,1260,1260,3380,146,2324,7042,6391,130,2500,4739,
筹资活动产生的现金流量净额(万元),0,0,-1260,-1260,-1260,-141,3093,12,-1287,361,1870,1950,1811,
汇率变动对现金及现金等价物的影响(万元),339,32,235,311,-78,-658,-174,472,874,294,105,-436,-177,
现金及现金等价物净增加额(万元),-10468,-1048,10134,-7298,2321,8222,4591,-3804,2892,3434,-1812,-2171,4907,
加:期初现金及现金等价物余额(万元),19269,19269,9135,9135,9135,913,913,4717,1825,1805,3617,5788,881,
期末现金及现金等价物余额(万元),8801,18221,19269,1837,11455,9135,5504,913,4717,5239,1805,3617,5788,
净利润(万元),,8346,18612,,7357,9866,2912,6687,4571,4609,6725,3757,4185,
少数股东损益(万元),,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,
资产减值准备(万元),,-231,295,,7,-43,-27,120,124,-23,1802,137,-31,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2533,5088,,2532,4089,1953,3681,2191,849,1130,671,488,
无形资产摊销(万元),,137,238,,112,220,110,220,170,66,95,61,20,
长期待摊费用摊销(万元),,,,,,92,50,100,267,63,152,48,12,
待摊费用的减少(万元),,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,80,194,,124,87,56,61,-0,-1,,60,0,
固定资产报废损失(万元),,,,,,27,,,,,,,,
公允价值变动损失(万元),,,,,,,,,0,0,2,-3,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,
财务费用(万元),,,,,,122,121,8,42,39,130,,119,
投资损失(万元),,-162,-246,,-74,-5,-5,-35,-25,-9,-61,-84,-8,
递延所得税资产减少(万元),,81,-105,,-58,-18,4,207,-86,4,-409,-44,-32,
递延所得税负债增加(万元),,,,,,,,,-0,-0,-0,0,,
存货的减少(万元),,-482,-54,,-255,-176,226,-899,-427,-1000,-520,-658,-1009,
经营性应收项目的减少(万元),,5213,-4711,,-2964,1798,-1275,-4703,392,1014,-4167,-1179,-765,
经营性应付项目的增加(万元),,-10653,2655,,2203,2643,2308,-1411,2537,2036,3563,-187,1151,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,
其他(万元),,,,,,,,,4459,,,,,
经营活动产生现金流量净额(万元),,4863,21967,,8984,18702,6433,4036,14217,7647,8442,2580,4130,
债务转为资本(万元),,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,
现金的期末余额(万元),8801,18221,19269,1837,11455,9135,5504,913,4717,5239,1805,3617,5788,
现金的期初余额(万元),19269,19269,9135,9135,9135,913,913,4717,1825,1805,3617,5788,881,
