报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),31261,19974,9744,40620,32245,20447,9473,38938,27736,18017,8678,34633,31312,27876,23595,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),1510,970,383,1650,1134,512,304,789,618,292,147,504,427,656,288,
收到的其他与经营活动有关的现金(万元),1988,1569,1320,3286,2399,1472,386,2778,2171,1338,175,2642,2832,2564,1776,
经营活动现金流入小计(万元),34759,22513,11447,45556,35778,22432,10162,42506,30525,19646,9000,37779,34570,31096,25659,
购买商品、接受劳务支付的现金(万元),25445,16966,8458,27997,24171,14953,6492,23875,16304,9611,5466,17646,19263,17330,12933,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4531,3436,1793,6955,5144,3744,1785,6941,5663,3833,1702,5892,4887,4010,3188,
支付的各项税费(万元),1343,848,463,1759,1603,1106,582,1671,1244,974,490,1312,1294,1347,1159,
支付的其他与经营活动有关的现金(万元),3042,2276,2012,7453,6311,3203,798,6625,5068,3525,782,6111,5287,5201,4270,
经营活动现金流出小计(万元),34361,23527,12726,44164,37229,23006,9656,39112,28279,17943,8440,30960,30732,27888,21551,
经营活动产生的现金流量净额(万元),398,-1014,-1278,1392,-1451,-575,505,3393,2246,1703,560,6819,3839,3208,4108,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),139,211,2,4,3,2,2,2,2,1,0,3,2,1,3,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),44,42,,67,22,19,,5,3,3,,47,72,37,14,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,18575,14293,17461,2960,2960,,8155,6200,3049,,8009,4917,555,8272,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),184,18828,14295,17533,2985,2981,2,8162,6205,3053,0,8059,4991,593,8289,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1039,847,303,1865,635,413,468,1752,1533,1330,291,6199,2432,1091,846,
投资所支付的现金(万元),,,,,,,,,,,,,,22,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),2250,19824,15074,28161,2960,2960,,7895,6015,2855,,6103,6687,555,8272,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),3289,20671,15377,30026,3595,3373,468,9647,7548,4185,291,12302,9119,1668,9118,
投资活动产生的现金流量净额(万元),-3106,-1843,-1082,-12494,-611,-392,-465,-1484,-1343,-1132,-291,-4243,-4128,-1075,-829,
吸收投资收到的现金(万元),,,,22105,22105,22105,,,,,,66,39,195,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,66,39,,,
取得借款收到的现金(万元),6268,4487,2300,5872,5872,3622,3131,9794,7166,4633,1852,12720,18761,14993,9145,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,300,,
筹资活动现金流入小计(万元),6268,4487,2300,27977,27977,25727,3131,9794,7166,4633,1852,12786,18800,15488,9145,
偿还债务支付的现金(万元),2250,1000,1000,12128,11628,7590,3422,8941,6483,3704,1421,13923,16238,15723,8800,
分配股利、利润或偿付利息所支付的现金(万元),2085,2009,26,1630,228,208,111,1637,1334,208,74,1380,2272,1244,3403,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,23,
支付其他与筹资活动有关的现金(万元),,,,1962,2061,2061,153,,127,,224,,,300,,
筹资活动现金流出小计(万元),4335,3009,1026,15720,13917,9860,3686,10578,7944,3911,1718,15303,18511,17267,12203,
筹资活动产生的现金流量净额(万元),1933,1478,1274,12257,14060,15867,-555,-784,-778,722,134,-2517,289,-1779,-3058,
汇率变动对现金及现金等价物的影响(万元),75,-16,-16,54,70,1,2,-62,-19,-2,-51,45,15,3,-9,
现金及现金等价物净增加额(万元),-700,-1394,-1103,1210,12068,14902,-513,1063,105,1290,353,104,15,357,212,
加:期初现金及现金等价物余额(万元),3247,3247,3247,2038,2038,2038,2038,975,975,975,975,871,856,499,287,
期末现金及现金等价物余额(万元),2548,1853,2145,3247,14105,16939,1525,2038,1080,2265,1328,975,871,856,499,
净利润(万元),,1400,,3174,,2014,,4454,,2283,,4148,3479,2756,3045,
少数股东损益(万元),,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,
资产减值准备(万元),,35,,246,,150,,42,,73,,88,52,48,154,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,690,,1354,,670,,1131,,466,,669,641,616,514,
无形资产摊销(万元),,23,,47,,24,,47,,24,,48,42,26,24,
长期待摊费用摊销(万元),,3,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-2,,4,,0,,13,,-0,,4,-40,-6,26,
固定资产报废损失(万元),,,,,,,,,,,,,,,,
公允价值变动损失(万元),,43,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,
财务费用(万元),,62,,256,,92,,374,,155,,313,309,290,386,
投资损失(万元),,-85,,-6,,-3,,-5,,-2,,-4,-2,-3,-5,
递延所得税资产减少(万元),,-42,,14,,-25,,-179,,-59,,-23,-12,21,26,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,
存货的减少(万元),,-2020,,-1278,,-1508,,-1622,,-1111,,1021,-378,-844,647,
经营性应收项目的减少(万元),,199,,-3291,,-3049,,-1302,,-1883,,-1212,90,-614,-1619,
经营性应付项目的增加(万元),,-1322,,872,,1062,,441,,1757,,1732,-354,918,910,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,35,12,,,
经营活动产生现金流量净额(万元),,-1014,,1392,,-575,,3393,,1703,,6819,3839,3208,4108,
债务转为资本(万元),,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,
现金的期末余额(万元),2548,1853,2145,3247,14105,16939,1525,2038,1080,2265,1328,975,871,856,499,
现金的期初余额(万元),3247,3247,3247,2038,2038,2038,2038,975,975,975,975,871,856,499,287,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-700,-1394,-1103,1210,12068,14902,-513,1063,,1290,353,104,15,357,212,

