报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),38192,23634,39931,14480,36725,19801,13726,
客户存款和同业存放款项净增加额(万元),,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,
拆入资金净增加额(万元),,,,,,,,
回购业务资金净增加额(万元),,,,,,,,
收到的税费返还(万元),1518,755,921,527,1322,59,,
收到的其他与经营活动有关的现金(万元),489,336,224,504,362,351,101,
经营活动现金流入小计(万元),40199,24724,41076,15512,38408,20212,13827,
购买商品、接受劳务支付的现金(万元),21278,10193,20777,8580,23526,10297,8298,
客户贷款及垫款净增加额(万元),,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,
支付保单红利的现金(万元),,,,,,,,
支付给职工以及为职工支付的现金(万元),6927,4731,7448,3884,5651,4145,3273,
支付的各项税费(万元),4894,2876,3174,1812,2686,1403,1209,
支付的其他与经营活动有关的现金(万元),2793,1236,3496,1687,3111,1373,1299,
经营活动现金流出小计(万元),35893,19037,34896,15962,34974,17219,14080,
经营活动产生的现金流量净额(万元),4306,5688,6180,-450,3434,2993,-252,
收回投资所收到的现金(万元),,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,10,20,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,
投资活动现金流入小计(万元),0,0,0,0,10,20,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),296,246,2273,2036,394,696,326,
投资所支付的现金(万元),,,,5,,,,
质押贷款净增加额(万元),,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,
投资活动现金流出小计(万元),296,246,2273,2041,394,696,326,
投资活动产生的现金流量净额(万元),-296,-246,-2273,-2041,-384,-676,-326,
吸收投资收到的现金(万元),,,150,146,5060,580,700,
其中：子公司吸收少数股东投资收到的现金(万元),,,150,146,160,40,,
取得借款收到的现金(万元),550,,984,500,,700,10,
发行债券收到的现金(万元),,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,50,120,,
筹资活动现金流入小计(万元),550,0,1134,646,5110,1400,710,
偿还债务支付的现金(万元),332,54,702,,200,510,,
分配股利、利润或偿付利息所支付的现金(万元),12,15,21,8,1029,14,36,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,
支付其他与筹资活动有关的现金(万元),5474,3978,5364,1874,1371,2456,200,
筹资活动现金流出小计(万元),5817,4047,6087,1882,2600,2980,236,
筹资活动产生的现金流量净额(万元),-5267,-4047,-4954,-1236,2510,-1580,474,
汇率变动对现金及现金等价物的影响(万元),7,5,1,1,,,,
现金及现金等价物净增加额(万元),-1250,1400,-1045,-3726,5560,737,-104,
加:期初现金及现金等价物余额(万元),7170,7170,8215,8215,2654,1917,2021,
期末现金及现金等价物余额(万元),5920,8569,7170,4489,8215,2654,1917,
净利润(万元),7232,5017,7672,2794,4927,2232,2789,
少数股东损益(万元),,,,,,,,
未确认的投资损失(万元),,,,,,,,
资产减值准备(万元),214,141,687,259,318,533,219,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),295,193,709,277,212,187,113,
无形资产摊销(万元),39,26,39,12,35,35,23,
长期待摊费用摊销(万元),181,113,179,88,175,80,109,
待摊费用的减少(万元),,,,,,,,
预提费用的增加(万元),,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,-3,,,
固定资产报废损失(万元),0,0,2,1,1,2,3,
公允价值变动损失(万元),,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,
预计负债(万元),,,,,,,,
财务费用(万元),5,10,26,7,7,29,36,
投资损失(万元),,,,,,,,
递延所得税资产减少(万元),-108,-140,-98,-22,-73,-73,-39,
递延所得税负债增加(万元),-0,-0,-1,-1,1,,,
存货的减少(万元),-3213,-242,-4630,-1392,-8088,-4844,-115,
经营性应收项目的减少(万元),-3791,-3452,-8451,-3399,-898,-5298,-521,
经营性应付项目的增加(万元),2799,3464,9414,702,6373,9782,-2868,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,
其他(万元),173,15,631,222,445,328,,
经营活动产生现金流量净额(万元),4306,5688,6180,-450,3434,2993,-252,
债务转为资本(万元),,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,
融资租入固定资产(万元),,,,,,,,
现金的期末余额(万元),5920,8569,7170,4489,8215,2654,1917,
现金的期初余额(万元),7170,7170,8215,8215,2654,1917,2021,
现金等价物的期末余额(万元),,,,,,,,
现金等价物的期初余额(万元),,,,,,,,
现金及现金等价物的净增加额(万元),-1250,1400,-1045,-3726,5560,737,-104,

