报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),207242,5263,,51533,,,,,2903,,21660,,,,,,,99418,,,,,2654,1674,7347,
收取利息、手续费及佣金的现金(万元),330837,216891,149497,359016,271775,183058,96597,401868,286498,182240,82165,516596,324263,307742,758165,582164,355054,110646,299921,209051,132600,194361,145785,84337,139234,
拆入资金净增加额(万元),59905,,,,,10000,,,,,,81000,,27000,,,21000,,110000,40800,,49000,49000,30000,,
回购业务资金净增加额(万元),349231,442093,191207,44779,,,222966,,18698,125248,,370746,95860,304158,,,,108948,,298082,133228,,,,894,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),10175,8785,63776,90808,70830,65066,214135,51549,100916,88382,98173,28101,72872,481262,688755,945739,834540,2327657,774424,3035863,1929261,570970,340040,357826,8575024,
经营活动现金流入小计(万元),1317315,1140961,1100978,949437,694456,625573,637127,453416,409016,455955,264229,1305125,887146,1449556,2462596,2778290,3714456,3414103,1718013,4272573,2591016,819841,537479,473837,8722499,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),45405,29789,13740,48640,39100,27065,15342,53911,42716,27977,16676,72411,51642,52252,104432,73488,56703,23199,28571,33480,18799,6175,5750,3699,6273,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),90727,72223,32190,119334,93334,76965,38808,128560,103629,86706,66389,122566,99970,100857,119730,94890,64122,44200,81785,65470,44983,67507,43668,31306,62703,
支付的各项税费(万元),20712,14508,6722,38263,34654,28705,11652,56872,51828,31138,15580,95553,73562,72744,102869,83933,42003,21728,37384,47884,23684,24834,16668,13501,10009,
支付的其他与经营活动有关的现金(万元),319130,260411,116083,419312,516139,46362,31439,448843,408941,217352,194152,342966,359614,742318,1048464,1396322,355086,2304898,590411,3554342,2266364,268770,253898,174317,8663821,
经营活动现金流出小计(万元),685715,484253,318474,713175,844809,435068,292300,1801368,955465,643575,644514,1406886,1574882,1601921,2230623,2037683,2044550,2941048,1432380,3882160,2449586,878331,374345,247750,8742805,
经营活动产生的现金流量净额(万元),631600,656708,782504,236262,-150353,190505,344827,-1347952,-546449,-187620,-380285,-101761,-687736,-152365,231973,740607,1669905,473055,285633,390413,141430,-58490,163134,226087,-20307,
收回投资所收到的现金(万元),591,569,347,300,,,,,,,,,,,,7094,3950,497,6279,14206,2670,1832,,,,
取得投资收益所收到的现金(万元),7276,5272,5272,6590,6590,6590,6590,,,,,4000,4000,4000,5400,4500,4500,218,1620,3570,3335,-355,540,300,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),89,76,,,,,,,,,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,30,367,396,74,9,37,64,54,,31,19,38,36714,16082,16545,,43,10182,101967,313,3873,1661,5342,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),7956,5917,5649,7257,6986,6664,6600,37,64,54,0,4031,4019,4038,42114,27677,24995,715,7941,27957,107971,1789,4413,1961,5342,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),12533,4412,2240,13182,6072,4505,1686,15730,9015,5122,1353,9390,6141,7345,12657,5711,2769,450,27769,11959,10435,47597,18587,15127,6629,
投资所支付的现金(万元),2150,2150,1900,208923,208678,60,,5765,3234,2079,,,,4790,7664,2450,2450,2300,,53042,,393,1428,1600,3000,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,2864,,,,,1900,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,1645941,,,20,9378,2639,1700,,14935,10252,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
