报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),41729,24159,60405,41801,22311,16670,89461,77473,47391,27169,33829,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2037,672,5532,4686,2642,1051,5367,6160,6349,6360,8756,
经营活动现金流入小计(万元),43765,24832,65937,46487,24953,17721,94827,83633,53739,33529,42585,
购买商品、接受劳务支付的现金(万元),41330,22763,62080,53436,40894,28525,59822,53835,36923,25448,28229,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5567,3160,11723,9582,7475,5482,8994,4261,2725,1466,1351,
支付的各项税费(万元),4454,3246,4431,3834,2688,1747,5823,3884,4580,2082,1177,
支付的其他与经营活动有关的现金(万元),5129,2793,10675,8517,5388,2771,7948,13464,6939,8808,8613,
经营活动现金流出小计(万元),56480,31961,88909,75368,56446,38525,82588,75445,51167,37804,39371,
经营活动产生的现金流量净额(万元),-12715,-7129,-22973,-28881,-31493,-20805,12239,8188,2572,-4274,3215,
收回投资所收到的现金(万元),,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,21,4,4,4,1,9,35,0,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),0,,21,4,4,4,1,9,35,0,1,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),182,4,3866,3858,3831,3717,833,836,3887,38,160,
