报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),234057,154922,61882,229673,134797,103126,49891,114871,55561,20052,20984,173073,96463,35840,20958,167927,104701,36614,12750,225538,170372,110731,114748,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),3,3,3,3,295,1,1,2,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),52495,38332,37357,41592,46214,41190,28627,67625,26391,16831,5438,78056,32559,18729,8098,34299,21989,10455,5800,18238,34913,23409,27738,
经营活动现金流入小计(万元),286555,193257,99242,271268,181306,144317,78519,182499,81952,36883,26423,251129,129022,54569,29056,202226,126691,47070,18551,243776,205285,134139,142486,
购买商品、接受劳务支付的现金(万元),174112,116572,70829,202298,141230,122929,69507,148281,109310,76073,65638,145358,122537,66248,48999,170170,139387,76828,53258,181461,130061,79371,106077,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),17075,10757,5154,19705,12886,7954,4774,11299,9810,5909,3304,9528,6277,5031,2592,10919,6304,4650,2306,10746,7538,5172,4524,
支付的各项税费(万元),8215,6475,3491,11729,8054,7135,3289,6838,2613,1467,1793,7571,4373,3065,1060,5213,3390,2451,1236,4835,4365,2046,1304,
支付的其他与经营活动有关的现金(万元),63975,58396,21960,32313,37800,19126,28318,64709,40362,20583,22328,76647,51405,21305,9154,39894,28209,11312,4548,31358,46137,28372,29759,
经营活动现金流出小计(万元),263377,192201,101433,266045,199970,157144,105888,231128,162095,104033,93063,239103,184592,95648,61805,226196,177290,95241,61349,228401,188100,114962,141665,
经营活动产生的现金流量净额(万元),23178,1057,-2191,5223,-18664,-12827,-27369,-48629,-80144,-67150,-66640,12027,-55570,-41079,-32749,-23970,-50600,-48171,-42798,15376,17185,19178,821,
收回投资所收到的现金(万元),,,,,,,,16000,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),138,138,,23,23,23,,59,59,59,,,,,,,,,,,,,7,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,,599,427,420,,57,2,2,,,,,,18,18,18,,0,0,11,2,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,1304,,,5020,9207,,,,15500,6000,,,17700,9500,1000,,,,105,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),138,138,0,1926,450,443,5020,25322,61,61,0,15500,6000,0,0,17718,9518,1018,0,0,0,116,9,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7487,5686,2593,9418,5591,4210,4325,21934,16549,11199,9918,3756,1770,198,96,1512,1078,579,123,3455,3498,2259,2315,
投资所支付的现金(万元),6000,,,1234,131,90,,63587,105,,,3000,3000,3000,,,,,,,,396,386,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,2167,2167,,1455,,,,,,,,,,,,,,,,
