报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),34349,23867,20395,45535,45495,29658,12494,43585,32619,21625,11034,38316,28198,19679,9943,33115,25675,8717,24056,18934,16039,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),52,0,,140,174,140,,,2,0,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2036,1344,458,3683,2752,1553,82,1107,1834,556,214,2531,2425,1190,78,2534,2034,859,562,805,702,
经营活动现金流入小计(万元),36437,25210,20853,49358,48421,31351,12577,44692,34454,22181,11248,40847,30623,20869,10021,35648,27708,9575,24618,19739,16741,
购买商品、接受劳务支付的现金(万元),15788,11676,15661,24248,28279,19811,8075,28653,20287,13223,7324,20211,15866,10824,6025,17662,13665,4738,13139,10923,9417,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7339,5124,2438,9189,6702,3962,2028,5859,4390,2955,1728,4787,3477,2512,1105,3734,2856,1176,3148,2655,2338,
支付的各项税费(万元),2668,2094,1114,4010,3570,2642,1337,2971,2496,1860,1133,3807,2658,1931,1110,3325,2646,829,2045,1758,1381,
支付的其他与经营活动有关的现金(万元),3996,3773,2080,8375,6729,5002,1328,5726,5737,4546,1120,4838,3868,2952,732,5660,3935,1074,3506,1987,1780,
经营活动现金流出小计(万元),29791,22667,21292,45821,45280,31417,12769,43208,32911,22583,11305,33643,25869,18219,8973,30381,23103,7816,21839,17323,14916,
经营活动产生的现金流量净额(万元),6647,2543,-439,3537,3141,-67,-192,1484,1544,-402,-57,7204,4754,2650,1048,5267,4605,1759,2779,2416,1826,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,73,,,,166,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,10,0,,,1396,6,,,16,16,14,1,21,21,,10,103,11,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,10700,11182,11362,6741,27124,20394,8182,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),0,0,0,10783,11182,11362,6741,28686,20400,8182,0,16,16,14,1,21,21,0,10,103,11,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),5586,3852,1014,8277,7985,6561,2116,13773,9653,3516,1920,8295,6319,3459,2242,5644,3882,1151,4423,3554,2771,
投资所支付的现金(万元),,,,,13993,,,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,11393,,13993,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,6000,6288,6288,6770,31000,25500,13000,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),5586,3852,1014,25670,28266,26843,8886,44773,35153,16516,1920,8295,6319,3459,2242,5644,3882,1151,4423,3554,2771,
投资活动产生的现金流量净额(万元),-5586,-3852,-1014,-14887,-17084,-15480,-2144,-16087,-14753,-8335,-1920,-8280,-6303,-3445,-2242,-5624,-3861,-1151,-4414,-3450,-2760,
吸收投资收到的现金(万元),,,,,0,,,23531,23531,23531,23531,,,,,9000,9000,9000,5000,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),7420,7420,3220,24310,20030,16880,14520,1200,200,200,200,4698,4698,1500,500,1700,1700,1200,7588,12188,7188,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,0,,,,545,,,,,,,409,409,,,2353,,
筹资活动现金流入小计(万元),7420,7420,3220,24310,20030,16880,14520,24731,24277,23731,23731,4698,4698,1500,500,11109,11109,10200,12588,14541,7188,
偿还债务支付的现金(万元),,,230,8480,2000,200,200,3598,3598,3598,200,2100,2100,1000,500,6988,6988,438,9488,11188,6445,
分配股利、利润或偿付利息所支付的现金(万元),1767,520,,3569,2304,264,66,2311,2130,2128,4,112,66,25,12,248,232,118,705,982,487,
其中：子公司支付给少数股东的股利、利润(万元),,,,1000,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1585,1331,200,2600,0,,,858,838,838,13,157,128,128,128,1099,943,258,997,657,,
筹资活动现金流出小计(万元),3352,1851,430,14649,4304,464,266,6767,6565,6563,217,2369,2294,1154,640,8335,8163,814,11189,12827,6932,
筹资活动产生的现金流量净额(万元),4068,5569,2790,9661,15726,16416,14254,17965,17712,17168,23515,2329,2404,346,-140,2774,2946,9386,1399,1714,256,
汇率变动对现金及现金等价物的影响(万元),-295,-51,-28,67,33,-17,-46,-7,-28,-10,62,-52,-42,-45,-17,40,16,19,12,2,-1,
现金及现金等价物净增加额(万元),4834,4209,1308,-1622,1817,852,11872,3354,4474,8422,21600,1202,811,-493,-1350,2457,3706,10013,-225,682,-679,
加:期初现金及现金等价物余额(万元),6574,6574,6574,8195,8195,8195,8195,4841,4841,4841,4841,3640,3640,3640,3640,1183,1183,1183,1407,725,1404,
期末现金及现金等价物余额(万元),11407,10783,7882,6574,10012,9047,20067,8195,9316,13263,26441,4841,4451,3147,2289,3640,4889,11195,1183,1407,725,
净利润(万元),,1360,,1840,,2040,,4711,,2109,,5469,,1980,,4694,,,3759,2674,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,368,,982,,-19,,305,,-22,,312,,28,,244,,,78,532,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2011,,3390,,1300,,1612,,752,,1361,,675,,1358,,,1227,1074,,
无形资产摊销(万元),,151,,226,,70,,102,,52,,103,,50,,101,,,70,41,,
长期待摊费用摊销(万元),,,,,,,,,,0,,21,,11,,21,,,21,21,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-7,,,,-283,,,,0,,-1,,-11,,,-14,-3,,
固定资产报废损失(万元),,,,0,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,-4,,760,,281,,13,,10,,37,,25,,237,,,602,583,,
投资损失(万元),,,,-73,,,,-166,,-41,,,,,,,,,,,,
递延所得税资产减少(万元),,76,,-21,,-143,,-78,,1,,-25,,9,,-34,,,-23,-48,,
递延所得税负债增加(万元),,21,,14,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-673,,-1333,,-2701,,-3235,,-958,,-1233,,-177,,-928,,,-1012,-906,,
经营性应收项目的减少(万元),,522,,-2130,,-3196,,-3734,,-1652,,-3640,,339,,-1523,,,-4283,-3042,,
经营性应付项目的增加(万元),,-1289,,-113,,2302,,2236,,-654,,4799,,-288,,1107,,,2354,1490,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,2543,,3537,,-67,,1484,,-402,,7204,,2650,,5267,,,2779,2416,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),11407,10783,7882,6574,10012,9047,20067,8195,9316,13263,26441,4841,4451,3147,2289,3640,4889,11195,1183,1407,725,
现金的期初余额(万元),6574,6574,6574,8195,8195,8195,8195,4841,4841,4841,4841,3640,3640,3640,3640,1183,1183,1183,1407,725,1404,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,
