报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),1692157,1122475,665246,2724206,1863127,1278358,901838,2163792,1299176,893830,1637996,1830337,1591230,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),162660,92326,46119,195543,130941,101283,40575,72838,50195,43249,63588,86563,60810,
收到的其他与经营活动有关的现金(万元),24468,18389,2262,18472,7416,6382,876,13353,8787,7381,7851,8717,6442,
经营活动现金流入小计(万元),1879285,1233190,713627,2938221,2001483,1386024,943289,2249983,1358159,944460,1709435,1925617,1658482,
购买商品、接受劳务支付的现金(万元),1348242,794945,483210,1858259,1464649,885096,563627,1682941,1136720,681991,1200075,1335358,1098127,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),174640,147574,59193,312601,188717,140102,77095,283343,166511,130930,222405,179029,135808,
支付的各项税费(万元),64748,53912,20863,50618,50548,34671,20788,42290,31350,28037,42136,48778,32524,
支付的其他与经营活动有关的现金(万元),50851,31358,28712,95772,48607,33135,21668,74113,50775,37668,72839,70043,51086,
经营活动现金流出小计(万元),1638482,1027789,591978,2317250,1752521,1093003,683179,2082687,1385355,878626,1537455,1633209,1317545,
经营活动产生的现金流量净额(万元),240804,205401,121649,620971,248963,293021,260110,167296,-27197,65834,171980,292409,340937,
收回投资所收到的现金(万元),70500,3300,1000,142700,160405,42376,24177,61130,71239,34417,123536,45170,,
取得投资收益所收到的现金(万元),4894,3750,2432,16575,12967,9055,5790,7820,7342,2044,4417,12278,538,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2624,2567,1586,5340,12321,1553,2184,32637,30806,30347,4850,788,1701,
处置子公司及其他营业单位收到的现金净额(万元),,,,0,0,,,41622,41622,41622,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,11313,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),78018,9617,5018,164615,185694,52983,32150,143208,151009,108430,132802,58236,13551,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),241494,191018,93304,403817,239821,157902,83869,330788,170700,110431,201415,172166,131787,
投资所支付的现金(万元),3006,3152,6254,84223,,,13200,86700,69200,162300,11480,165841,174425,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,0,,,196297,196297,196297,3404,,5730,
