报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),165344,95641,271586,182530,107885,255051,100195,225725,233791,281840,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),,,,,,,14,,1,91,
收到的其他与经营活动有关的现金(万元),5343,2728,14664,10351,8565,12403,3216,10715,20247,25287,
经营活动现金流入小计(万元),170687,98369,286250,192881,116450,267453,103426,236440,254039,307218,
购买商品、接受劳务支付的现金(万元),22885,12407,27262,21409,13010,28962,23715,34089,23052,33375,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),17725,12112,20559,14210,10303,18314,8727,15605,14842,15142,
支付的各项税费(万元),5980,5578,16199,9791,7659,14396,6559,12879,13176,14112,
支付的其他与经营活动有关的现金(万元),9008,3439,10790,6996,3443,15859,5212,7511,14758,13521,
经营活动现金流出小计(万元),55598,33536,74810,52406,34415,77531,44214,70084,65828,76150,
经营活动产生的现金流量净额(万元),115089,64833,211440,140475,82035,189922,59212,166356,188212,231068,
收回投资所收到的现金(万元),,,146715,38123,,9844,13604,277531,61291,36969,
取得投资收益所收到的现金(万元),673,673,728,728,728,902,422,11269,1567,1088,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,4285,4478,4462,13,13,3260,40,23,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,-965,
收到的其他与投资活动有关的现金(万元),10459,8614,5104,1429,1429,99685,3,1337,40707,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),11133,9288,156833,44758,6619,110443,14042,293396,103605,37115,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),56286,35413,111663,78853,60054,230554,88675,191739,198201,72463,
投资所支付的现金(万元),39149,39723,127045,117170,114588,28135,14802,174992,30000,105017,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,2070,,,,,11,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),95435,75136,240778,196023,174642,258690,103476,366743,228201,177479,
投资活动产生的现金流量净额(万元),-84302,-65848,-83945,-151266,-168023,-148246,-89434,-73346,-124596,-140365,
吸收投资收到的现金(万元),107005,107005,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),,,70761,69648,68158,35373,4343,50217,,,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,352,
筹资活动现金流入小计(万元),107005,107005,70761,69648,68158,35373,4343,50217,0,352,
偿还债务支付的现金(万元),37367,36944,112151,109629,34270,6763,,61353,134960,17305,
分配股利、利润或偿付利息所支付的现金(万元),5791,4194,28763,25031,14973,19978,2584,13625,14148,14186,
其中：子公司支付给少数股东的股利、利润(万元),5574,3979,9376,6208,6161,10010,1988,3276,2956,6027,
支付其他与筹资活动有关的现金(万元),1457,646,295,287,283,68,65,1146,370,,
筹资活动现金流出小计(万元),44616,41784,141209,134947,49527,26810,2649,76124,149478,31491,
筹资活动产生的现金流量净额(万元),62389,65221,-70448,-65299,18631,8563,1694,-25907,-149478,-31139,
汇率变动对现金及现金等价物的影响(万元),-1839,456,9123,6844,1483,-3329,-1881,1988,1168,-2132,
现金及现金等价物净增加额(万元),91337,64662,66169,-69246,-65873,46910,-30409,69092,-84695,57432,
加:期初现金及现金等价物余额(万元),260968,260968,194799,194799,194799,147889,147889,78798,163493,106061,
期末现金及现金等价物余额(万元),352305,325630,260968,125553,128925,194799,117480,147889,78798,163493,
净利润(万元),,36214,74547,,25773,72181,,,,,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,,14167,,13075,6775,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,62041,120252,,58190,111545,,,,,
无形资产摊销(万元),,2100,4005,,1918,3732,,,,,
长期待摊费用摊销(万元),,48,96,,48,96,,,,,
待摊费用的减少(万元),,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,1,-215,,-173,86,,,,,
固定资产报废损失(万元),,0,28,,,,,,,,
公允价值变动损失(万元),,318,-156,,3192,1437,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,
预计负债(万元),,,,,,,,,,,
财务费用(万元),,219,5395,,157,-269,,,,,
投资损失(万元),,241,10498,,792,465,,,,,
递延所得税资产减少(万元),,-147,129,,158,-433,,,,,
递延所得税负债增加(万元),,-578,6291,,3011,7719,,,,,
存货的减少(万元),,-401,232,,-87,-698,,,,,
经营性应收项目的减少(万元),,-29159,-3927,,-14510,-9170,,,,,
经营性应付项目的增加(万元),,-7534,-19902,,-9509,-3543,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,
其他(万元),,,,,,,,,,,
经营活动产生现金流量净额(万元),,64833,211440,,82035,189922,,,,,
债务转为资本(万元),,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,
现金的期末余额(万元),352305,325630,260968,125553,128925,194799,117480,147889,78798,163493,
现金的期初余额(万元),260968,260968,194799,194799,194799,147889,147889,78798,163493,106061,
现金等价物的期末余额(万元),,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,
现金及现金等价物的净增加额(万元),91337,64662,66169,-69246,-65873,46910,-30409,69092,-84695,57432,

