报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,-992576,-703916,-468020,,-314429,,,15270,24154,22631,,,,,,,72357,18115,196112,
收取利息、手续费及佣金的现金(万元),241587,167482,81134,228022,174015,120019,60918,252775,185376,119686,54114,237599,175993,119684,56271,424994,335107,233732,165803,58841,113084,49160,77495,
拆入资金净增加额(万元),20000,,,,,,,,50000,,,,,30000,,,10000,30000,11000,,49000,39000,,
回购业务资金净增加额(万元),25309,-132386,82717,700057,634083,486264,456592,126738,263133,475045,238646,,-263003,,125017,137018,410224,557093,381782,100048,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),825,699,725,1496,4871,3774,338,1573,773,713,8696,22921,22008,22936,17077,3643,27197,1455,3472,2704,2731,1888,920,
经营活动现金流入小计(万元),602983,414048,594382,1325134,174639,154719,243250,381085,184853,646859,316853,356816,100166,405113,198365,1212714,1431734,2309707,1019763,256720,237171,108163,319839,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),68521,45532,23167,82248,60465,40360,16420,61104,33524,18365,10815,50755,38700,28429,12550,104134,76939,52615,30381,9942,17870,7860,18108,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),47835,32479,19644,61528,43297,29993,19961,53874,38212,25658,13617,55624,37819,27459,16880,59292,40897,26559,30211,16550,28806,16901,28159,
支付的各项税费(万元),22676,15489,4736,32519,27593,21347,7866,42514,32444,24316,14565,30639,28831,20316,13592,84791,70199,46026,23880,8198,15756,7705,10752,
支付的其他与经营活动有关的现金(万元),23958,16454,13148,30862,29238,20499,9434,35791,23116,14423,4766,27675,17691,11641,5998,30366,23339,16133,23228,10843,35192,102850,22136,
经营活动现金流出小计(万元),257763,-19539,63818,1263741,294995,150892,53680,790701,264611,484484,194045,1142231,567489,556190,431003,846461,514958,890147,521924,200474,288767,182893,353706,
经营活动产生的现金流量净额(万元),345220,433587,530565,61393,-120355,3826,189571,-409615,-79758,162375,122808,-785415,-467323,-151077,-232638,366253,916776,1419560,497839,56246,-51595,-74730,-33867,
收回投资所收到的现金(万元),,,,180,,,,500,,,,,,,,62,,,,,,,,
取得投资收益所收到的现金(万元),1417,1417,927,1430,1610,1429,841,1946,1650,1650,986,1278,1278,1278,329,728,1532,728,905,905,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),17,15,7,,,,,,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,73,30,7,4,49,28,23,19,91,44,38,13,92,3330,104,526,214,160,0,54,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),1434,1433,935,1683,1640,1436,845,2495,1678,1673,1005,1369,1322,1316,342,882,4862,832,1431,1119,160,0,54,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),11504,9364,1091,9753,7867,4098,1003,6237,4324,2455,1262,10593,8501,4679,2530,9140,5542,2963,4374,1722,5161,1653,16076,
投资所支付的现金(万元),9881,7881,,8874,9000,9000,,68302,3380,3200,750,13338,13338,4272,,12241,13020,6700,5181,2359,2988,2988,1475,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,2,,,,,,,,,,,,,,,,3000,3000,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),21385,17245,1091,18628,16869,13098,1003,74538,7704,5655,2012,23931,21840,8951,2530,21381,18562,728,9555,4082,11149,7641,17551,
投资活动产生的现金流量净额(万元),-19951,-15813,-156,-16945,-15229,-11662,-158,-72044,-6026,-3982,-1007,-22562,-20517,-7635,-2188,-20500,-13700,104,-8124,-2963,-10990,-7641,-17497,
吸收投资收到的现金(万元),-2064,-2064,-2064,1250,1250,1250,,6750,6750,,,513924,1000,,,5000,,,,,,,75328,
