报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),137416,83598,38980,139794,101725,63984,32378,155581,124810,81256,49182,133366,93348,62487,88403,65744,51874,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),1042,733,,250,249,,,,,,,,,,141,,175,
收到的其他与经营活动有关的现金(万元),3515,2154,1450,3702,2262,1802,1347,3112,1514,942,835,879,565,169,363,237,124,
经营活动现金流入小计(万元),141972,86484,40431,143746,104236,65787,33725,158693,126324,82198,50017,134245,93914,62656,88907,65980,52173,
购买商品、接受劳务支付的现金(万元),71571,37965,22918,46578,38926,20768,10719,42126,37463,21124,7694,46382,25416,19926,32406,21488,22430,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),44151,27381,13292,39586,27312,18845,9768,36676,27147,18254,9860,35344,22919,13992,22807,14716,9406,
支付的各项税费(万元),10552,8353,4576,11076,9949,7994,3958,18760,14404,9739,5067,18794,13074,7754,11711,9483,4197,
支付的其他与经营活动有关的现金(万元),10679,6244,518,13005,6213,3856,1792,7274,5565,3728,1831,5752,3925,2346,4688,4031,3748,
经营活动现金流出小计(万元),136953,79943,41304,110244,82400,51463,26238,104836,84581,52845,24452,106272,65334,44019,71612,49718,39781,
经营活动产生的现金流量净额(万元),5019,6540,-873,33503,21836,14323,7487,53857,41743,29353,25565,27973,28579,18637,17296,16262,12392,
收回投资所收到的现金(万元),260130,170130,170220,313900,204170,132960,23910,130163,77463,37933,5634,25416,16403,12569,44078,,3000,
取得投资收益所收到的现金(万元),3118,2134,2114,4556,2572,995,194,672,380,171,28,265,143,85,210,,40,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),55,33,,14,9,,221,36,365,3,,25,888,8,149,8,2,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,585,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),263303,172296,172334,319055,206751,133955,24325,130872,78209,38107,5662,25707,17434,12662,44437,8,3042,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),26959,15037,3369,29465,12085,7787,2884,9668,6863,2752,1177,14518,13365,9007,9518,12225,5838,
投资所支付的现金(万元),220700,150700,50690,446860,289520,264430,179040,146429,104589,54539,11389,23688,20741,19761,44530,2850,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),247659,165737,54059,476325,301605,272217,181924,156097,111452,57291,12566,38206,34106,28768,54048,15075,5838,
